page,iso,country,region,role,name,meta,ean,code,tags,seller,note,links,product_v23,brand_v23,pack_v23,ean_v23,v23_rows
9,AT,Austria,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 15}"
9,AT,Austria,Europe,DEXTROSE,buXtrade Dextrose (Traubenzucker) 25 kg,"buXtrade · 25 kg, manufacturer's pack · monohydrate",4260486775762,,,,,https://www.shop-apotheke.at/ernaehrung/upm47YLPU/buxtrade-dextrose-pulver.htm https://buxtrade.de/products/dextrose-traubenzucker,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade,"25 kg, opakowanie producenta",4260486775762,"{""04_POKRYCIE_PR"": 16, ""20_DEKSTROZA_75"": 7}"
9,AT,Austria,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 17, ""23_TARA_75"": 7}"
10,BH,Bahrain,Middle East & North Africa,MILK,Organic Milk Full Fat 200ml,Arla · 200 ml · 3.5% fat,5711953072352,,,,,https://mea.arla.com/product-overview/organicmilk/full-fat-200ml-3195/ https://www.thefreshmarketdubai.com/products/arla-organic-milk-full-fat-200ml-5711953072352,Organic Milk Full Fat 200ml,Arla,200 ml,5711953072352,"{""04_POKRYCIE_PR"": 144, ""11_MLEKO_75"": 29}"
10,BH,Bahrain,Middle East & North Africa,CREAM,Puck Whipping Cream UHT,Puck · 200 ml · 35.2% fat,5700426230177,,,,,https://www.puckarabia.com/en/products/whipping-cream/ https://www.sharjahcoop.ae/en/puck-whipping-cream-200ml/p/5700426230177,Puck Whipping Cream UHT,Puck,200 ml,5700426230177,"{""04_POKRYCIE_PR"": 145, ""14_SMIETANKA_75"": 29}"
10,BH,Bahrain,Middle East & North Africa,SMP,Milfresh Gold Superior Granulated Skimmed Milk,Milfresh / Bolo Bahrain · 500 g (pack of 10) · 0.8% fat,,SUPSKIM / MIL-FRE-SKIM-MILK-500,,,,https://www.bolo.bh/categories/grocery/food-cupboard/baking-supplies/condensed-powdered-milk,Milfresh Gold Superior Granulated Skimmed Milk,Milfresh / Bolo Bahrain,500 g (pakiet 10 szt.),,"{""04_POKRYCIE_PR"": 146, ""17_PROSZEK_75"": 29}"
10,BH,Bahrain,Middle East & North Africa,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 147}"
10,BH,Bahrain,Middle East & North Africa,DEXTROSE,Peak Supps Dextrose (D-Glucose) Powder,Peak Supps · 250 g · monohydrate,5060471050312,,,,,https://www.bolo.bh/products/KO00AN1XD28-dextrose-powder-250g-pure-d-glucose https://peaksupps.co.uk/products/dextrose-glucose-powder,Peak Supps Dextrose (D-Glucose) Powder,Peak Supps,250 g,5060471050312,"{""04_POKRYCIE_PR"": 148, ""20_DEKSTROZA_75"": 29}"
10,BH,Bahrain,Middle East & North Africa,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1 https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 149, ""23_TARA_75"": 29}"
11,BD,Bangladesh,Asia–Pacific,MILK,Harvey Fresh Full Cream Longlife Milk 1L,Harvey Fresh · 1 L UHT carton · 3.5% fat,9311697100173,,,,,https://www.foodpanda.com.bd/groceries/product/FYL67N/harvey-fresh-full-cream-milk-1l https://www.harveyfresh.com.au/our-products/milk/long-life-milk/uht-full-cream-milk-1-litre,Harvey Fresh Full Cream Longlife Milk 1L,Harvey Fresh,"1 L, karton UHT",9311697100173,"{""04_POKRYCIE_PR"": 150, ""11_MLEKO_75"": 30}"
11,BD,Bangladesh,Asia–Pacific,CREAM,Emborg Natural Whipping Cream UHT 35.1% 1 L,Emborg · 1 L · 35.1% fat,5701215046399,,,,,https://www.dccbazar.com.bd/grocery-en/baking-needs/emborg-whipping-cream-200ml-clone/ https://www.emborg.com/product/whipping-cream/,Emborg Natural Whipping Cream UHT 35.1% 1 L,Emborg,1 L,5701215046399,"{""04_POKRYCIE_PR"": 151, ""14_SMIETANKA_75"": 30}"
11,BD,Bangladesh,Asia–Pacific,SMP,Real Food Organic Non-Fat Dry Milk Powder,NOW Foods · 12 oz (340 g) · 0% fat,733739058324,,From abroad,,,https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic https://bd.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134,Real Food Organic Non-Fat Dry Milk Powder,NOW Foods,12 oz (340 g),733739058324,"{""04_POKRYCIE_PR"": 152, ""17_PROSZEK_75"": 30}"
11,BD,Bangladesh,Asia–Pacific,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 153}"
11,BD,Bangladesh,Asia–Pacific,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 154, ""20_DEKSTROZA_75"": 30}"
11,BD,Bangladesh,Asia–Pacific,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1 https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 155, ""23_TARA_75"": 30}"
12,BE,Belgium,Europe,MILK,Inex Lait entier UHT 1 L PET (art. 6013),Inex · 1 L PET bottle; case 6 x 1 L · 3.6% fat,54025059,,,,,https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519 https://www.orestofoodpartners.be/fr/lait-entier-inex-bouteille-en-plastique-1l/p17479?c=130,Inex Lait entier UHT 1 L PET (art. 6013),Inex,1 L PET bottle; case 6 x 1 L,54025059,"{""04_POKRYCIE_PR"": 18, ""11_MLEKO_75"": 8}"
12,BE,Belgium,Europe,CREAM,AH Slagroom houdbaar 30% 200 ml,AH · 200 ml · 30% fat,8718907237888,,,,,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar,AH Slagroom houdbaar 30% 200 ml,AH,200 ml,8718907237888,"{""04_POKRYCIE_PR"": 19, ""14_SMIETANKA_75"": 8}"
12,BE,Belgium,Europe,SMP,Régilait Lait en poudre Écrémé 300 g,Régilait / Delhaize Belgium · 300 g · 0.8% fat,3043934232700,,,,,https://www.delhaize.be/fr/shop/Cremerie-fromage-et-alternatives-vegetales/Lait/Concentre/Lait-instantanee-Ecreme-Extra-calcium-0-M-G-/p/S2007061200000150000 https://regilait.com/en/products/powdered-milks/instant-skimmed-milk-powder-0-fat,Régilait Lait en poudre Écrémé 300 g,Régilait / Delhaize Belgium,300 g,3043934232700,"{""04_POKRYCIE_PR"": 20, ""17_PROSZEK_75"": 8}"
12,BE,Belgium,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 21}"
12,BE,Belgium,Europe,DEXTROSE,Glucopur 250 g (5 × 50 g),Revogan · 5 × 50 g · monohydrate,,1204 / CNK 0114074,,,,https://webshop.revogan.be/en/shop/1204-glucopur-250g-5x50g-14864,Glucopur 250 g (5 × 50 g),Revogan,5 × 50 g,,"{""04_POKRYCIE_PR"": 22, ""20_DEKSTROZA_75"": 8}"
12,BE,Belgium,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 23, ""23_TARA_75"": 8}"
13,BR,Brazil,Americas,MILK,Piracanjuba Leite Integral UHT 1 L,Piracanjuba · 1 L · 3% fat,7898215151708,,,,,https://www.piracanjuba.com.br/produto/leite-integral-piracanjuba-1l https://www.covabra.com.br/leite-piracanjuba-integral-1l/p,Piracanjuba Leite Integral UHT 1 L,Piracanjuba,1 L,7898215151708,"{""04_POKRYCIE_PR"": 156, ""11_MLEKO_75"": 31}"
13,BR,Brazil,Americas,CREAM,Piracanjuba Seleção Creme de Leite Gourmet 30%,Piracanjuba · 200 g carton · 30% fat,7898215151975,,,,,https://www.piracanjuba.com.br/produto/creme-de-leite-gourmet-piracanjuba-200g https://www.lojasantoantonio.com.br/69883-creme-de-leite-gourmet-30--gordura-200ml-piracanjuba/p,Piracanjuba Seleção Creme de Leite Gourmet 30%,Piracanjuba,"200 g, karton",7898215151975,"{""04_POKRYCIE_PR"": 157, ""14_SMIETANKA_75"": 31}"
13,BR,Brazil,Americas,SMP,Molico Desnatado Leite em Pó,Nestlé Molico · 280 g · 0% fat,7891000101506,,,,,https://www.lojafamilynes.com.br/molico-desnatado-lata-280g https://compre.estreladistribuicao.com.br/leite-em-po-molico-desnatado-lata-280g-122947,Molico Desnatado Leite em Pó,Nestlé Molico,280 g,7891000101506,"{""04_POKRYCIE_PR"": 158, ""17_PROSZEK_75"": 31}"
13,BR,Brazil,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 159}"
13,BR,Brazil,Americas,DEXTROSE,Adicel Dextrose Monohidratada,Adicel · 500 g · monohydrate,,1100,,,,https://www.adicel.com.br/aditivos/dextrose-monohidratada-500g,Adicel Dextrose Monohidratada,Adicel,500 g,,"{""04_POKRYCIE_PR"": 160, ""20_DEKSTROZA_75"": 31}"
13,BR,Brazil,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 161, ""23_TARA_75"": 31}"
14,BG,Bulgaria,Europe,MILK,"Président UHT 3,5% / 3,6% 1 L",Président · 1 L · 3.6% fat,3228022980095,,,,,https://shop24.bg/pryasno-mlyako/466-pryasno-mlyako-president-35-1l-3228022980095.html,"Président UHT 3,5% / 3,6% 1 L",Président,1 L,3228022980095,"{""04_POKRYCIE_PR"": 162, ""11_MLEKO_75"": 32}"
14,BG,Bulgaria,Europe,CREAM,Madeta Jihočeská smetana UHT 31%,Madeta · 250 ml carton · 31% fat,8593803253053,,,,,https://www.ebag.bg/en/cream-madeta-dairy-31-uht/535345 https://www.madeta.cz/produkty/jihoceska-smetana-trvanliva-31-250_ml,Madeta Jihočeská smetana UHT 31%,Madeta,250 ml carton,8593803253053,"{""04_POKRYCIE_PR"": 163, ""14_SMIETANKA_75"": 32}"
14,BG,Bulgaria,Europe,SMP,"Сухо обезмаслено мляко 1,5%",Bioset · 50 g · 1.5% fat,3800081460239,,,,,https://randi.bg/suho-mliako-bioset-15-50gr https://tmarketonline.bg/product/suho-mlyako-bioset-15-50gr,"Сухо обезмаслено мляко 1,5%",Bioset,50 g,3800081460239,"{""04_POKRYCIE_PR"": 164, ""17_PROSZEK_75"": 32}"
14,BG,Bulgaria,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 165}"
14,BG,Bulgaria,Europe,DEXTROSE,"Декстроза - GymBeam, bez dodatków smakowych",GymBeam · 1000 g · monohydrate,8588006139983,,,,,https://gymbeam.bg/dekstroza-1000-g-gymbeam.html,"Декстроза - GymBeam, bez dodatków smakowych",GymBeam,1000 g,8588006139983,"{""04_POKRYCIE_PR"": 166, ""20_DEKSTROZA_75"": 32}"
14,BG,Bulgaria,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 167, ""23_TARA_75"": 32}"
15,CA,Canada,Americas,MILK,Natrel Fine-Filtered Homogenized Milk 3.25% M.F. 2 L,Natrel · 2 L · 3.2% fat,0064420010025,,,,,https://www.natrel.ca/en/products/fine-filtered-milk/fine-filtered-325-milk https://www.agropursolutions.ca/fr/produits/lait/finement-filtre/2l-natrel-lait-finement-filtre-325,Natrel Fine-Filtered Homogenized Milk 3.25% M.F. 2 L,Natrel,2 L,0064420010025,"{""04_POKRYCIE_PR"": 60, ""11_MLEKO_75"": 15}"
15,CA,Canada,Americas,CREAM,Dairyland Whipping Cream 33% M.F.,Dairyland · 473 ml carton · 33.3% fat,068700100451,,,,,https://www.dairyland.ca/en/products/cream/33-whipping-cream https://www.saveonfoods.com/product/dairyland-33-whipping-cream-id-00068700100451,Dairyland Whipping Cream 33% M.F.,Dairyland,"473 ml, karton",068700100451,"{""04_POKRYCIE_PR"": 61, ""14_SMIETANKA_75"": 15}"
15,CA,Canada,Americas,SMP,Carnation Fat Free Instant Skim Milk Powder,Carnation · 500 g · 0% fat,059000111322,,,,,https://www.carnationmilk.ca/en/products/instant-skim https://www.amazon.ca/Carnation-Powdered-Skim-Milk-500g/dp/B01EYBIU9S,Carnation Fat Free Instant Skim Milk Powder,Carnation,500 g,059000111322,"{""04_POKRYCIE_PR"": 62, ""17_PROSZEK_75"": 15}"
15,CA,Canada,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 63}"
15,CA,Canada,Americas,DEXTROSE,NOW Real Food Dextrose Powder,NOW Real Food Canada · 907 g / 32 oz,733739869258,,,,,https://nowfoods.ca/product/dextrose/ https://www.walmart.ca/en/ip/NOW-Foods-NOW-Real-Food-Dextrose-Powder-32-oz/1HH13O5A5FYG,NOW Real Food Dextrose Powder,NOW Real Food Canada,907 g / 32 oz,733739869258,"{""04_POKRYCIE_PR"": 64, ""20_DEKSTROZA_75"": 15}"
15,CA,Canada,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 65, ""23_TARA_75"": 15}"
16,CL,Chile,Americas,MILK,"COLUN Leche Entera Natural 3,1% 1 L",COLUN · 1 L · 3.1% fat,7802920777542,,,,,https://www.colun.cl/productos/categoria/detalle/leche-colun-entera-1-lt,"COLUN Leche Entera Natural 3,1% 1 L",COLUN,1 L,7802920777542,"{""04_POKRYCIE_PR"": 168, ""11_MLEKO_75"": 33}"
16,CL,Chile,Americas,CREAM,Soprole Crema para Batir Larga Vida 35%,Soprole · 1 L UHT carton · 35.3% fat,7802900107017,,,,,https://www.soprole.cl/productos/categorias/subcategorias/producto-detalle/cremas/crema-para-batir-1l https://super.eltit.cl/products/crema-l-vida-soprole-1lt-p-batir,Soprole Crema para Batir Larga Vida 35%,Soprole,"1 l, karton UHT",7802900107017,"{""04_POKRYCIE_PR"": 169, ""14_SMIETANKA_75"": 33}"
16,CL,Chile,Americas,SMP,Colun Leche Descremada en Polvo,COLUN · 800 g · 0.5% fat,7802920009865,,,,,https://www.colun.cl/productos/categoria/detalle/leche-colun-descremada-en-polvo-800gr https://www.mitiendacolun.cl/lp-colun-0-800-gr-2020.html,Colun Leche Descremada en Polvo,COLUN,800 g,7802920009865,"{""04_POKRYCIE_PR"": 170, ""17_PROSZEK_75"": 33}"
16,CL,Chile,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 171}"
16,CL,Chile,Americas,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 172, ""20_DEKSTROZA_75"": 33}"
