ingredient_id,ingredient_name_display,verification_status,approved_for_base,missing_evidence
PI-ING-002143,ALITAME · Sweetener · High Intensity,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002144,BROWN SUGAR · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002145,COCONUT SUGAR · Sweetener · Dry,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002146,AGAVE SYRUP (AGAVE NECTAR) · Sweetener · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002147,DATE SYRUP · Sweetener · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002148,CANE MOLASSES · Sweetener · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002149,BROWN RICE SYRUP · DE28 · Sweetener · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002150,BROWN RICE SYRUP · DE42 · Sweetener · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002151,BROWN RICE SYRUP · DE60 · Sweetener · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002152,BARLEY MALT SYRUP / MALT EXTRACT · Sweetener · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002153,NON-CENTRIFUGAL CANE SUGAR (PANELA / JAGGERY) · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002154,PALM SUGAR · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002155,RAW CANE SUGAR (DEMERARA / TURBINADO) · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002156,ICING / POWDERED SUGAR · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002157,HIGH-FRUCTOSE CORN SYRUP · HFCS55 · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002158,HIGH-FRUCTOSE CORN SYRUP · HFCS90 · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002159,CANE SYRUP · Sweetener · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002160,YACON CONCENTRATE · ~89% SOLIDS · Sweetener / FOS · Liquid,Verified / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002161,MAPLE SUGAR · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002162,YACON SYRUP · ~72% SOLIDS · Sweetener / FOS · Liquid,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002163,DEXTROSE ANHYDROUS · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002164,TREHALOSE ANHYDROUS · Sweetener · Dry,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002165,LIQUID SUCROSE · 67.5° BRIX · Sweetener,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002166,FRUCTOSE SOLUTION · 77% SOLIDS · Sweetener,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002167,LIQUID GLUCOSE SYRUP · DE38 · 83% SOLIDS,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002168,LIQUID GLUCOSE SYRUP · DE42 · 80% SOLIDS,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002169,LIQUID GLUCOSE SYRUP · DE47 · 79% SOLIDS,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002170,LIQUID GLUCOSE SYRUP · DE60 · 80% SOLIDS,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002171,OLIGOFRUCTOSE (FOS) · P95 · 95% SOLIDS · Powder,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
PI-ING-002172,OLIGOFRUCTOSE (FOS) · L95 · 75% SOLIDS · Syrup,PI Calculated / Global Reference,TRUE,no_process_metadata;no_product_behavior_classification
