iso2,priority,region,role,grams,pi_ing,proposal_key,v7_status,requirement_code,requirement,product,brand,pack,ean,v7_market_evidence,v7_technical_fit,v7_deviation,v7_activation_condition,v7_message,final_pr_id,a04_evidence_class,a04_verification_class,a04_best_url
BE,★★★★★,EU27,MILK,672,PI-ING-000236,MILK-GTIN-54025059,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Inex Lait entier UHT 1 L PET (art. 6013),Inex,1 L PET bottle; case 6 x 1 L,54025059,"Specyfikacja Inex z 24.10.2023: art.6013, butelka PET 1L, jednostkowy EAN-8 54025059, karton EAN5410441110919, pełny profil na100ml, min. tłuszcz3.5%, deklarowane3.6g. Oresto: ten sam1L PET EAN zapisany z zerami0000054025059 i lokalna dystrybucja.",WŁASNY PROFIL PR — przeliczenie z rzeczywistej etykiety,0.10000000000000009,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,"Przyjęto prawidłowy EAN-8, nie uznano krótkiego kodu za brak. Tłuszcz do przeliczeń3.6 zgodnie z etykietą, minimum produktu3.5%.",AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519
BE,★★★★★,EU27,CREAM,130,PI-ING-000180,CREAM-GTIN-8718907237888,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",AH Slagroom houdbaar 30% 200 ml,AH,200 ml,8718907237888,"Local AlbertHeijn be productpage publishes full7+fiber,200ml, ingredients, supplier. JSON-LD gtin13=8718907237888; footer08718907237888 confirms leading zero14-digit equivalent. Availability InStock in structuredOffer. Noadded sugar/salt, but natural sugars/salt retained. Country of production not declared.",WŁASNY PROFIL PR — rzeczywista etykieta,0,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,"Select exact30% liquid UHT dairycream. SameGTIN legitimately sold in two markets, identicalprofile.",AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar
BE,★★★★★,EU27,SMP,35,PI-ING-000270,SMP-GTIN-03245413563040,WYMAGA_ETYKIETY,LABEL_EVIDENCE_MISSING,label/composition evidence missing — current label (ingredients + nutrition per 100 g/ml),Carrefour Classic' Lait Écrémé en Poudre 750 g,Carrefour Classic',"750 g; 7,5 l mleka po odtworzeniu",3245413563040,"Etykieta na 100 ml przygotowanego mleka: 153 kJ/36 kcal, węglowodany 5,2, cukry 5,2, białko3,6, sól0,11. Instrukcja100 g proszku+930 ml wody=1 litr mleka zawierający0,8 g tłuszczu. Normalizacja pozostałych makro x10.",Własny profil SMP — Engine przelicza rzeczywiste dane i jawne estymacje,0,"Nasycone: 0,625 × tłuszcz (proporcja z pełnej etykiety Régilait 0,5/0,8); PI ma niewiarygodne 0. błonnik: PI-ING-000270 (0 /100 g). Nasycone opisane jedynie jako ilości znikome, bez wartości; nie wpisano0.",Nie użyto wartości odtworzonego mleka jako wartości proszku.,AUTO PO AKCEPTACJI,LEAD,MARKET_PAGE_WITHOUT_EAN,https://www.carrefour.be/fr/classic-lait-ecreme-en-poudre-7.5-l/07132606.html
BE,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,DEX-BE-PRODUCT,WYMAGA_GTIN,GTIN_MISSING,barcode not established for the chosen pack — label photo or market page printing the GTIN,Glucopur 250 g (5 × 50 g),Revogan,5 × 50 g,,Producent/dystrybutor oraz TDS z 25.03.2026 podają jedyny składnik dextrose monohydraat. TDS surowa baza /100g.,Postać monohydrat; NIP i model aktywności osobno,0,"PI-ING-000494 uzupełnia: błonnik=0 /100g. To oszacowanie, nie deklaracja etykiety. MODEL PI: 90,9g aktywnej dekstrozy +9,1g wody/100g; nie jest pomiarem partii. Czystość suchej masy i zaokrąglone cukry NIP nie zastępują CoA.",,AUTO PO AKCEPTACJI,BRAK,NO_EAN_IN_V7,https://webshop.revogan.be/en/shop/1204-glucopur-250g-5x50g-14864
BE,★★★★★,EU27,TARA,3,PI-ING-000492,TARA-GTIN-08055728540170,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"IMPORT; Zweryfikowano08.09.2026. TDS producenta rew.17.07.2026: skład/pochodzenie/alergeny na s.1–2; wartości odżywcze na100g i wilgotność na s.10; matryca alergenów na s.11–12. Pełne wartości odżywcze z jednej aktualnej TDS. Dostępność kraju oparta na jawnej polityce dostaw UE/UK/CH, nie na samej domenie ani ogólnym zasięgu marki.","Energia źródła, jeśli dostępna; brakujące pola z PI. Nie narzucano zgodności różnych konwencji znakowania.",0,"Wszystkie 8 pól z etykiety/TDS lub jawnego przeliczenia porcji/sodu/błonnika. Aktywność względna=1 wyłącznie MODEL PI, nie oznaczenie handlowej partii. Dawka odniesienia 3 g/1000 g (0,3%) bez automatycznego skalowania. Lepkość ani 100% składnika nie oznaczają 100% galaktomannanu. Woda z TDS: 7 g/100 g; W TDS wilgotność7% jako wartość referencyjna, nie pomiar partii; strona sklepu podaje<9,11%, co pozostaje odnotowaną rozbieżnością źródeł. IMPORT z Włoch. Sklep producenta oznacza wybrany wariant 50 g jako dostępny; polityka dostaw wprost obejmuje całą UE, w tym Belgii. Orientacyjny termin 3–7 dni roboczych; warunki dla adresu i zapas potwierdzić w checkout.",Wybrano jednoskładnikowy produkt z TDS; nie mieszać z SaporePuro Neutro zawierającym maltodekstrynę/tarę/guar. Nie przypisano kodu Sosa700g ani niepotwierdzonego kodu8052744883445 do SaporePuro50g. TDS ma pierwszeństwo przed rozbieżnymi danymi wilgotności/lepkości na stronie sklepu. AKTUALIZACJA: oficjalny JSON producenta potwierdza dla 50 g SKU SPGT50 i EAN 8055728540170; poprzedni brak identyfikatora zamknięty.,AUTO PO AKCEPTACJI,LEAD,EAN_ON_GENERIC_TLD_PAGE,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
DK,★★★★★,EU27,MILK,672,PI-ING-000236,MILK-GTIN-5709310050303,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer","Arla Sødmælk 3,5% UHT 1 L",Arla,1 L carton with screw cap,5709310050303,"Karta producenta Arla z GS1Trade Exact z10.07.2024: 1L, GTIN05709310050303, krajDK, skład i pełny profil na100g. SPAR DK indeksuje dokładny EAN5709310050303 i1L; Sartorvet potwierdza ofertę1L w kartonie10szt.",WŁASNY PROFIL PR — przeliczenie z rzeczywistej etykiety,0,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Zamieniono niepotwierdzony produkt na dokładny UHT3.5%1L; odrzucono niespójne nieoficjalne3.1%. Dane na100g stosowane bez korekty gęstości zgodnie z zasadą aplikacji.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://danfoods.dk/wp-content/uploads/data-sheets/700000/700000%20S%C3%98DM%C3%86LK%20UHT%20ARLA%201L%2088508.pdf
DK,★★★★★,EU27,CREAM,130,PI-ING-000180,CREAM-GTIN-5711953069291,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Arla Piskefløde 35% UHT 200 ml,Arla,200 ml,5711953069291,"Official Danish Arla product64625 explicitly all7 per100g,GTIN5711953069291,200ml,35%, madeDenmark. Onlinebutikken exactGTIN35% localoffer. MENY exactGTIN too, title36% but declared nutrition35% matches producer.",WŁASNY PROFIL PR — rzeczywista etykieta,5,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Nearest verified plain dairycream35% instead of unsupported imported30%. Arla Whip&Cook30% excluded as vegetable dairy alternative. Nominal and actual35 follow manufacturer.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.arla.dk/produkter/arla/piskeflode-64625/
DK,★★★★★,EU27,SMP,35,PI-ING-000270,SMP-GTIN-05703161691012,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",EASIS Skummetmælkspulver 200 g,EASIS,200 g,5703161691012,"Producent podaje wartości 'Pr.100g pulver'; nasycone0,4g u lokalnego sprzedawcy Mitliv; EAN w BilkaToGo.",Własny profil SMP — Engine przelicza rzeczywiste dane i jawne estymacje,-0.20000000000000007,Wszystkie pola pochodzą z etykiety; przeliczenie masy porcji i sodu nie jest estymacją.,"SMP0,6% jest bliskim zamiennikiem0,8%.",AUTO PO AKCEPTACJI,LEAD,MARKET_PAGE_WITHOUT_EAN,https://easis.dk/products/easis-skummetmaelkspulver
DK,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,DEX-GTIN-05709286720064,WYMAGA_ETYKIETY,LABEL_EVIDENCE_MISSING,label/composition evidence missing — current label (ingredients + nutrition per 100 g/ml),Urtegaarden Druesukker 500 g,Urtegaarden,500 g,5709286720064,"Lokalny sprzedawca explicite: fødevareprodukt med dextrose monohydrat. Tabela /100g: fat0–1g, sat<1g, protein0–1g; nie zamieniono granic na zero.",Postać monohydrat; NIP i model aktywności osobno,0,"PI-ING-000494 uzupełnia: tłuszcz=0; nasycone=0; białko=0; błonnik=0 /100g. To oszacowanie, nie deklaracja etykiety. MODEL PI: 90,9g aktywnej dekstrozy +9,1g wody/100g; nie jest pomiarem partii. Czystość suchej masy i zaokrąglone cukry NIP nie zastępują CoA. Tabela zawiera 91 g cukrów i 0 mg soli; opis marketingowy tej samej strony podaje 92 g i 1 mg. Zachowano dane z tabeli i oznaczono rozbieżność.",,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.helsebixen.dk/shop/urtegaarden-druesukker.html
DK,★★★★★,EU27,TARA,3,PI-ING-000492,TARA-DK-PRODUCT,WYMAGA_ETYKIETY,LABEL_EVIDENCE_MISSING,label/composition evidence missing — current label (ingredients + nutrition per 100 g/ml),Gum tara 1 kg,Louis François,1 kg,,"B2B; Zweryfikowano 08.09.2026. Condi potwierdza nazwę, markę, 1 kg, SKU12240, zastosowanie spożywcze i Francję jako pochodzenie. BienManger służy tylko jako dodatkowe źródło tożsamości/składu E417; ten francuski sklep oznacza produkt jako wycofany ze swojej oferty, więc nie jest dowodem dostępności. Publiczna bieżąca specyfikacja pełnego składu partii Condi nie została odnaleziona.","Energia źródła, jeśli dostępna; brakujące pola z PI. Nie narzucano zgodności różnych konwencji znakowania.",0,"ESTIMATED z PI-ING-000492: kcal=180; tłuszcz=0.5; nasycone=0; węglowodany dostępne=1.5; cukry=0; białko=2; sól=0; błonnik=86.5 /100 g. To model, nie etykieta produktu. Aktywność względna=1 wyłącznie MODEL PI, nie oznaczenie handlowej partii. Dawka odniesienia 3 g/1000 g (0,3%) bez automatycznego skalowania. Lepkość ani 100% składnika nie oznaczają 100% galaktomannanu. Woda 9,5 g/100 g: ESTIMATED z PI; brak oznaczenia produktu. Lokalna pozycja na zamówienie (Bestillingsvare). Condi przyjmuje jako hurtowników firmy z CVR i instytucje publiczne. Dostawy własne w rejonie stolicy i Danske Fragtmænd w pozostałej Danii; brak publicznego potwierdzenia terminu dla tego SKU.",Wskazano konkretny lokalny produkt B2B. Nie przenoszono kodu Sosa 700 g ani ogólnych deklaracji braku alergenów na Louis François.,AUTO PO AKCEPTACJI,BRAK,NO_EAN_IN_V7,https://condi.dk/da/tilsaetningsstoffer/gum-tara-1-kg
FI,★★★★★,EU27,MILK,672,PI-ING-000236,MILK-GTIN-6408430000135,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Valio täysmaito suomalaisilta maitotiloilta 1 L,Valio,1 L carton,6408430000135,"Producent Valio: pełna karta1L zEAN6408430000135, fat3.5%, cały profil w100g, Finlandia i zakładJyväskylä. K-Ruoka: dokładny EAN i1L w K-Citymarket Iso Omena.",WŁASNY PROFIL PR — przeliczenie z rzeczywistej etykiety,0,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,Potwierdzono bieżącą nazwę Valio täysmaito oraz exact1L EAN; wartości100g bez korekty gęstości zgodnie z aplikacją.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.valio.fi/tuotteet/valio-taysmaito-suomalaisilta-maitotiloilta/
FI,★★★★★,EU27,CREAM,130,PI-ING-000180,CREAM-GTIN-6413300015225,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Arla Lempi Kuohukerma luomu 35% 2 dl,Arla Lempi,200 ml,6413300015225,"S-kaupat Finnish Prisma product card exactGTIN,200ml, supplier/manufacturer, Finland, ordinaryorganiccream (containslactose), full7 as one coherent profile per100g. Arla confirms35%, ingredients,GTIN andpack.",WŁASNY PROFIL PR — rzeczywista etykieta,5,Dane kompletne. Końcowy PR poza Mapperem według istniejącej konwencji.,"Uses complete current S-kaupat declaration337kcal,3.1carbs,2.3protein,.06salt. Arla consumer page alternatively publishes335kcal,3carbs,2protein,.08salt; do not blend profiles. Selected single retailer profile is traceable. Low-lactose/hydrolysed alternatives avoided.",AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.s-kaupat.fi/tuote/arla-lempi-kuohukerma-luomu-2-dl/6413300015225
FI,★★★★★,EU27,SMP,35,PI-ING-000270,SMP-GTIN-06408430840625,KANDYDAT_PR,VERIFY_CANDIDATE,"EAN printed on a page serving this market + label facts (ingredients, nutrition) from manufacturer/retailer",Valio rasvaton maitojauhe instant 400 g,Valio,400 g,6408430840625,"Producent i lokalny sklep: wartości100g; HalpaHalli wprost UNPREPARED100g oraz EAN; emulgator to lecytyna rzepakowa. Producent: kraj pochodzenia i produkcji Finlandia; zakład Valio Oy,Lapinlahti.",Własny profil SMP — Engine przelicza rzeczywiste dane i jawne estymacje,-0.20000000000000007,błonnik: PI-ING-000270 (0 /100 g).,Nie pomylono z Valio laktoositon kevyt maitojauhe15% tłuszczu.,AUTO PO AKCEPTACJI,CONFIRMED,EAN_ON_MARKET_PAGE,https://www.valioaimo.fi/ammattilaistuotteet/valio-rasvaton-maitojauhe-instant/
