iso2,priority,region,role,grams,pi_ing,pi_in_2541,proposal_key,product,brand,pack,ean,ean_cell,gtin_checksum,rcn_range,gs1_prefix_registry,v7_status,source_domain,source_class_heuristic,source_url
FI,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-06408430840625,Valio rasvaton maitojauhe instant 400 g,Valio,400 g,6408430840625,TEXT,OK,NO,FI,KANDYDAT_PR,valioaimo.fi,DIRECT_SITE_UNCLASSIFIED,"https://www.valioaimo.fi/ammattilaistuotteet/valio-rasvaton-maitojauhe-instant/
https://www.s-kaupat.fi/tuote/valio-rasvaton-maitojauhe-instant-400-g/6408430840625
https://www.halpahalli.fi/valio-rasvaton-maitojauhe-instant-400-g.html"
FI,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
FI,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-FI-PRODUCT,Dekstroosi monohydraatti 25 kg,Leipurin (dystrybucja; producent nie podany),25 kg worek,,,,,,WYMAGA_ETYKIETY,store.leipurin.com,DIRECT_SITE_UNCLASSIFIED,"https://store.leipurin.com/fi/product-details/-/o/cn/Muut-makeutusaineet/ecom-item/E22202
https://store.leipurin.com/product-details/-/o/cn/Muut-makeutusaineet/ecom-item/E22202"
FI,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
FR,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-FR-ALSACE,"Alsace Lait Lait frais entier pasteurisé, brique 1 L",Alsace Lait,1 L brique,3262970109108,TEXT,OK,NO,FR,READY_PR,supermarchesmatch.fr,DIRECT_SITE_UNCLASSIFIED,"https://www.supermarchesmatch.fr/fr/p/1754550/alsace-lait-lait-frais-entier-brique-1l
https://www.intermarche.com/produit/lait-frais-pasteurise-entier/3262970109108"
FR,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-3451790256745,Elle & Vire Crème UHT fluide entière 30% MG 2×25cl,Elle & Vire,2 × 250 ml,3451790256745,TEXT,OK,NO,FR,KANDYDAT_PR,auchan.fr,DIRECT_SITE_UNCLASSIFIED,"https://www.auchan.fr/elle-vire-creme-fluide-entiere-30-mg-uht/pr-C1178091
https://www.carrefour.fr/p/creme-uht-fluide-entiere-30-mg-elle-vire-3451790256745"
FR,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-03043934232700,Lait écrémé en poudre,Régilait,karton 300 g,3043934232700,TEXT,OK,NO,FR,KANDYDAT_PR,regilait.com,DIRECT_SITE_UNCLASSIFIED,"https://regilait.com/produits/laits-en-poudre/lait-ecreme
https://lafamilleatable.com/products/p-lait-en-poudre-ecreme-regilait-3043934232700
https://www.auchan.fr/regilait-lait-ecreme-en-poudre/pr-C1274757"
FR,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
FR,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-FR-PRODUCT,Dextrose Monohydrate,Louis François,1 kg,,,,,,WYMAGA_GTIN,meilleurduchef.com,DIRECT_SITE_UNCLASSIFIED,"https://www.meilleurduchef.com/en/shop/baking-supplies/ingredients/sugar-sweetener/lfr-dextrose-monohydrate.html
https://files.meilleurduchef.com/mdc/pdf/product/lfr/dextrose-monohydrate/fiche_technique_dextrose.pdf
https://www.caterite.co.uk/louis-francois-dextrose/
https://louisfrancois.com/en/produit/dextrose/
https://www.chefgourmet.ch/ftp/pgiArticle/LF4550B/LF4550B_Dextrose_5kg_FT_CG_EN_20240108.pdf"
FR,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://panierdeschefs.eu/en/index.php?controller=attachment&id_attachment=338
https://www.bienmanger.com/1F36603_Gomme_Tara_E417_Louis_Francois.html
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
ES,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-8410128010102,"Pascual Clásica Leche Entera UHT, 6 x1 L",Pascual,6 x1 L (GTIN for retail multipack; not singlecarton),8410128010102,TEXT,OK,NO,ES,KANDYDAT_PR,clientes.pascualprofesional.com,DIRECT_SITE_UNCLASSIFIED,"https://clientes.pascualprofesional.com/calidadpascual/es/L%C3%A1cteos-y-Bebidas-Vegetales/Leche-y-Bebidas-L%C3%A1cteas/Leche-Cl%C3%A1sica//p/30012361-8410128010102
https://soria.e-leclerc.es/detalle/-/Producto/leche-entera-6x1l/8410128010102"
ES,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-8410379941019,Reny Picot Nata líquida especial para montar 30% 200 ml,Reny Picot,200 ml,8410379941019,TEXT,OK,NO,ES,KANDYDAT_PR,elcorteingles.es,DIRECT_SITE_UNCLASSIFIED,"https://www.elcorteingles.es/supermercado/B001020616300164-reny-picot-nata-liquida-especial-para-montar-brik-200-ml/
https://distribucionesplata.com/tienda/alimentacion-y-bebidas/21850-nata-reny-picot-liqmont-mg30-bk200m-8410379941019.html"
ES,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-08410100002330,Leche desnatada en polvo rica en calcio,Nestlé Sveltesse,puszka 400 g,8410100002330,TEXT,OK,NO,ES,KANDYDAT_PR,elcorteingles.es,DIRECT_SITE_UNCLASSIFIED,"https://www.elcorteingles.es/supermercado/B001020615800032-nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-400-g/
https://www.capraboacasa.com/es/productdetail/574939-leche-en-polvo-desnatada-sveltesse-lata-400-g/
https://www.online.bmsupermercados.es/es/p/leche-en-polvo-400-g/6029"
ES,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
ES,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-08437000514770,DAYELET DEXTROSA,Dayelet,400 g,8437000514770,TEXT,OK,NO,ES,WYMAGA_ETYKIETY,dayelet.com,DIRECT_SITE_UNCLASSIFIED,"https://www.dayelet.com/dextrosa/
https://www.dayelet.com/pdfs/esp/DAYELET%20DEXTROSA.pdf
https://www.zonasin.es/producto/dextrosa-400-g-dayelet-l22027"
ES,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://ferreralimentacion.com/pt-pt/producto/goma-tara/
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
NL,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-8712800147770,Campina Langlekker Volle Melk 1 L,Campina Langlekker,1 L carton,8712800147770,TEXT,OK,NO,NL,KANDYDAT_PR,ah.nl,DIRECT_SITE_UNCLASSIFIED,"https://www.ah.nl/producten/product/wi469256/campina-langlekker-volle-melk
https://www.campina.nl/producten/campina-langlekker-volle-melk-1l
https://www.civo.nl/artikel/46171/campina-langlekker-volle-melk-pak-1ltr-1-liter.html"
NL,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-8718907237888,AH Slagroom houdbaar 30% 200 ml,AH,200 ml,8718907237888,TEXT,OK,NO,NL,KANDYDAT_PR,ah.nl,DIRECT_SITE_UNCLASSIFIED,https://www.ah.nl/producten/product/wi34471/ah-slagroom-houdbaar
NL,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-08717677967827,Mattisson Biologische Magere Melkpoeder 450 g,Mattisson,450 g,8717677967827,TEXT,OK,NO,NL,KANDYDAT_PR,mattisson.nl,DIRECT_SITE_UNCLASSIFIED,"https://www.mattisson.nl/biologische-magere-melkpoeder
https://www.baktotaal.nl/mattisson-magere-melkpoeder-biologisch-450g
https://www.leef.nl/mattisson-magere-melkpoeder-bio-930680"
NL,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
NL,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-NL-PRODUCT,Dextrose 5 kg,Natural Spices,5 kg,,,,,,WYMAGA_GTIN,naturalspices.nl,DIRECT_SITE_UNCLASSIFIED,https://www.naturalspices.nl/dextrose
NL,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://www.baktotaal.nl/sosa-tara-gum-700g
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
IE,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-GTIN-5011056020053,Avonmore Fresh Whole Milk 2 Litre,Avonmore,2 L butelka,5011056020053,TEXT,OK,NO,GB,KANDYDAT_PR,tesco.ie,DIRECT_SITE_UNCLASSIFIED,"https://www.tesco.ie/shop/en-IE/products/250004694
https://www.dunnesstoresgrocery.com/product/avonmore-fresh-milk-2l-id-100130059
https://avonmore.ie/our-products/fresh-milk/
https://www.mastermarketapp.com/products/8751
https://chompthis.com/product/?id=419344"
IE,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-5900820000455,Łaciata Śmietanka UHT 30% 500 ml,Łaciata,500 ml,5900820000455,TEXT,OK,NO,PL,KANDYDAT_PR,mlekpol.com.pl,DIRECT_SITE_UNCLASSIFIED,"https://mlekpol.com.pl/index.php/en/produkt/laciata-uht-cream-30/
https://leclerc.com.pl/laciata-smietanka-30
https://moldovastore.ie/products/114/8433"
IE,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-05060113910714,Milfresh Gold Superior Granulated Skimmed Milk 500 g,Milfresh / Aimia Foods,500 g; karton 10 × 500 g,5060113910714,TEXT,OK,NO,GB,KANDYDAT_PR,static.viking-direct.co.uk,DIRECT_SITE_UNCLASSIFIED,"https://static.viking-direct.co.uk/is/content/odeu13/PDF/FRD_1185392_EN.pdf
https://www.templemanrv.co.uk/nutrition-pdf/9501/
https://www.irelandteaandcoffee.com/milfresh-gold-skimmed-milk-granules-100-percent-500g"
IE,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
IE,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-IE-PRODUCT,Dextrose Monohydrate 25 kg,Kiernan’s Food Ingredients,25 kg,,,,,,WYMAGA_ETYKIETY,kiernans.ie,DIRECT_SITE_UNCLASSIFIED,https://kiernans.ie/product/dextrose-monohydrate/
IE,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://www.odaios-foods.com/tara-gum-140753
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
CA,★★★★★,CANADA,MILK,672,PI-ING-000236,YES,MILK-GTIN-0064420010025,Natrel Fine-Filtered Homogenized Milk 3.25% M.F. 2 L,Natrel,2 L,0064420010025,TEXT,OK,NO,US/CA,KANDYDAT_PR,natrel.ca,DIRECT_SITE_UNCLASSIFIED,"https://www.natrel.ca/en/products/fine-filtered-milk/fine-filtered-325-milk
https://www.agropursolutions.ca/fr/produits/lait/finement-filtre/2l-natrel-lait-finement-filtre-325
https://www.fortinos.ca/en/fine-filtered-3-25-homogenized-milk/p/20130890_EA
https://dairyfarmersofcanada.ca/en/canadian-goodness/blue-cow-spotter/natrel-fine-filtered-homogenized-milk-325-mf-2l"
