iso2,priority,pi_ing,pi_name_final,product_mode,locales_contract,primary_pdf_locale,sa10_terms,sa10_regional,everyday_phrase_locales,consumer_term_status,v7_value,v7_value_fit,term_authority,brand,ean,evidence_class
CY,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,tr;el,OWNER_DECISION_MULTI_LOCALE,tr: sakkaroz | el: σακχαρόζη,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
CZ,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,cs,cs,cs: sacharóza,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
DE,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,de,de,de: Saccharose (+Zucker),,de,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
DK,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,da,da,da: saccharose,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
DO,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
DZ,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,fr;ar,OWNER_DECISION_MULTI_LOCALE,fr: saccharose (+sucre blanc) | ar: سكروز,,fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
EE,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,et,et,et: sahharoos,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
EG,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,ar,ar,ar: سكروز,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
ES,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
FI,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,sv;fi,OWNER_DECISION_MULTI_LOCALE,sv: sackaros | fi: sakkaroosi,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
FR,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,fr,fr,fr: saccharose (+sucre blanc),,fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
GB,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),en: caster sugar,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
GH,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
GR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,el,el,el: σακχαρόζη,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
HK,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;zh-Hant,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | zh-Hant: 蔗糖,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
HR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,hr,hr,hr: saharoza,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
HU,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,hu,hu,hu: szacharóz,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
ID,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,id,id,id: sukrosa,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
IE,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
IL,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,ar;he,OWNER_DECISION_MULTI_LOCALE,ar: سكروز | he: סוכרוז,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
IN,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;hi;bn;ta,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | hi: सुक्रोज | bn: সুক্রোজ | ta: சுக்ரோஸ்,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
IS,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,is,is,is: súkrósi,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
IT,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,it,it,it: saccarosio (+zucchero bianco),,it,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
JP,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,ja,ja,ja: ショ糖,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
KE,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;sw,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | sw: sukrosi,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
KR,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,ko,ko,ko: 자당,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
KW,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
LK,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;si;ta,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | si: සුක්‍රෝස් | ta: சுக்ரோஸ்,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
LT,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,lt,lt,lt: sacharozė,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
LU,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,de;fr,OWNER_DECISION_MULTI_LOCALE,de: Saccharose (+Zucker) | fr: saccharose (+sucre blanc),,de;fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
LV,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,lv,lv,lv: saharoze,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
MA,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,fr;ar,OWNER_DECISION_MULTI_LOCALE,fr: saccharose (+sucre blanc) | ar: سكروز,,fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
MT,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
MX,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
MY,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ms,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ms: sukrosa,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
NG,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
NL,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,nl,nl,nl: sacharose,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
NO,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,nb,nb,nb: sukrose,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
NZ,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en,en,en: granulated sugar (+sucrose/white sugar),,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
OM,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
PA,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,es,es,es: azúcar blanco (+sacarosa),,es,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
PH,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;fil,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | fil: sucrose,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
PK,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ur,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ur: سکروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
PL,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,pl,pl,pl: cukier (+sacharoza),,pl,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,OK_PL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
PT,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,pt,pt,pt: sacarose,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
QA,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
RO,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,ro,ro,ro: zaharoză,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
SA,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;ar,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | ar: سكروز,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
SE,★★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,sv,sv,sv: sackaros,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
SG,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,en;zh-Hans;ta;ms,OWNER_DECISION_MULTI_LOCALE,en: granulated sugar (+sucrose/white sugar) | zh-Hans: 蔗糖 | ta: சுக்ரோஸ் | ms: sukrosa,,en,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
SI,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,sl,sl,sl: saharoza,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
SK,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,sk,sk,sk: sacharóza,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
TH,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,th,th,th: ซูโครส,,,SA10_TECHNICAL_NAME_ONLY,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
TN,★★★★,PI-ING-000514,sucrose_sugar,GLOBAL_PI_GENERIC,fr;ar,OWNER_DECISION_MULTI_LOCALE,fr: saccharose (+sucre blanc) | ar: سكروز,,fr,SA10_EVERYDAY_PHRASE_PRESENT,Biały cukier krystaliczny — 100% cukier,POLISH_TEXT_NOT_LOCAL,"SA10 01_SEARCH_ALIASES (search registry, APPROVED_EDITORIAL; not a display-copy registry)",,,N/A_GENERIC
