iso2,priority,role,ean,rcn_range,v7_status,product,verification_class,evidence_class,best_url,http,source_type,page_market,market_by,evidence_method,price_currency,ean_context,page_title,html_sha256_16,evidence_utc,urls_checked,hosts_carrying_ean
BE,★★★★★,SMP,3245413563040,NO,WYMAGA_ETYKIETY,Carrefour Classic' Lait Écrémé en Poudre 750 g,MARKET_PAGE_WITHOUT_EAN,LEAD,https://www.carrefour.be/fr/classic-lait-ecreme-en-poudre-7.5-l/07132606.html,200,DIRECT,BE,CCTLD,BROWSER_DOM,,,Carrefour - Classic' Lait Écrémé en Poudre 7.5 L - #07132606 | Carrefour Belgique,,2026-09-10T13:52Z,2,
BE,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
BE,★★★★★,DEXTROSE,,,WYMAGA_GTIN,Glucopur 250 g (5 × 50 g),NO_EAN_IN_V7,BRAK,https://webshop.revogan.be/en/shop/1204-glucopur-250g-5x50g-14864,200,DIRECT,BE,CCTLD,RAW_HTML,,,Glucopur 250g (5x50g) | Revogan B2B,8c96c6082dd26243,2026-09-10T13:38:41Z,2,
BE,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,4,saporepuro.com
DK,★★★★★,MILK,5709310050303,NO,KANDYDAT_PR,"Arla Sødmælk 3,5% UHT 1 L",EAN_ON_MARKET_PAGE,CONFIRMED,https://danfoods.dk/wp-content/uploads/data-sheets/700000/700000%20S%C3%98DM%C3%86LK%20UHT%20ARLA%201L%2088508.pdf,200,DIRECT,DK,CCTLD,RAW_HTML,,"ionelt navn Mælk Regulated Name Sødmælk 3,5% fedt 1 liter, UHT GTIN 05709310050303 Lev. nr. 77117 Op",,02c69749e15256b0,2026-09-10T13:37:23Z,3,danfoods.dk;www.sartorvet.com
DK,★★★★★,CREAM,5711953069291,NO,KANDYDAT_PR,Arla Piskefløde 35% UHT 200 ml,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.arla.dk/produkter/arla/piskeflode-64625/,200,DIRECT,DK,CCTLD,RAW_HTML,,",""type"":""Product"",""name"":""Piskefløde 35% 200 ml"",""productID"":""barcode:5711953069291"",""url"":""https://www",Arla&#xAE; Piskefl&#xF8;de 35% 200 ml | Arla,881b2b0d8cb4eefb,2026-09-10T13:38:51Z,3,onlinebutikken.com;www.arla.dk
DK,★★★★★,SMP,5703161691012,NO,KANDYDAT_PR,EASIS Skummetmælkspulver 200 g,MARKET_PAGE_WITHOUT_EAN,LEAD,https://easis.dk/products/easis-skummetmaelkspulver,200,DIRECT,DK,CCTLD,BROWSER_DOM,,,Skummetmælkspulver - lavt fedtindhold og højt proteinindhold,,2026-09-10T13:52Z,3,
DK,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
DK,★★★★★,DEXTROSE,5709286720064,NO,WYMAGA_ETYKIETY,Urtegaarden Druesukker 500 g,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.helsebixen.dk/shop/urtegaarden-druesukker.html,200,DIRECT,DK,CCTLD,RAW_HTML,DKK,"1cb4067844f9c905ee1e067455f27""> <meta itemprop=""gtin13"" content=""5709286720064""> <meta itempr",Køb Urtegaarden Druesukker (500 gr) | Kun 32 kr - GRATIS FRAGT,e0fc4fc296cd497a,2026-09-10T13:39:24Z,3,www.cchobby.dk;www.helsebixen.dk;www.med24.dk
DK,★★★★★,TARA,,,WYMAGA_ETYKIETY,Gum tara 1 kg,NO_EAN_IN_V7,BRAK,https://condi.dk/da/tilsaetningsstoffer/gum-tara-1-kg,200,DIRECT,DK,CCTLD,RAW_HTML,,,K&#xF8;b Gum tara 1 kg hos Condi webshop,37c1c680fe5efdc1,2026-09-10T13:37:20Z,3,
FI,★★★★★,MILK,6408430000135,NO,KANDYDAT_PR,Valio täysmaito suomalaisilta maitotiloilta 1 L,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.valio.fi/tuotteet/valio-taysmaito-suomalaisilta-maitotiloilta/,200,DIRECT,FI,CCTLD,RAW_HTML,,"7/valio-vapaan-lehman-taysmaito-13-800x800.png"" ], ""gtin13"": ""6408430000135"" } </script><style ",Valio täysmaito suomalaisilta maitotiloilta - Valio,fbadcc5ec3e4a5c5,2026-09-10T13:40:25Z,2,www.valio.fi
FI,★★★★★,CREAM,6413300015225,NO,KANDYDAT_PR,Arla Lempi Kuohukerma luomu 35% 2 dl,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.s-kaupat.fi/tuote/arla-lempi-kuohukerma-luomu-2-dl/6413300015225,200,DIRECT,FI,CCTLD,BROWSER_DOM,,">EAN</h3><div class=""sc-ddc81c9d-2 esMhSy""><span>6413300015225</span></div>",Arla Lempi Kuohukerma luomu 2 dl | S-kaupat ruoan verkkokauppa,,2026-09-10T13:52Z,2,www.s-kaupat.fi
FI,★★★★★,SMP,6408430840625,NO,KANDYDAT_PR,Valio rasvaton maitojauhe instant 400 g,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.valioaimo.fi/ammattilaistuotteet/valio-rasvaton-maitojauhe-instant/,200,DIRECT,FI,CCTLD,RAW_HTML,,"-rasvaton-maitojauhe-instant-84062-800x800.png"" ], ""gtin13"": ""6408430840625"" } </script><style ",Valio rasvaton maitojauhe instant - Valio Aimo,a3ccd89a3eb42410,2026-09-10T13:40:25Z,3,www.halpahalli.fi;www.valioaimo.fi
FI,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
FI,★★★★★,DEXTROSE,,,WYMAGA_ETYKIETY,Dekstroosi monohydraatti 25 kg,NO_EAN_IN_V7,BRAK,https://store.leipurin.com/fi/product-details/-/o/cn/Muut-makeutusaineet/ecom-item/E22202,200,DIRECT,,GENERIC_TLD,RAW_HTML,,,Tuotteen tiedot - Leipurin Store,c9a0d771688bfc5f,2026-09-10T13:38:32Z,2,
FI,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,4,saporepuro.com
FR,★★★★★,MILK,3262970109108,NO,READY_PR,"Alsace Lait Lait frais entier pasteurisé, brique 1 L",SOURCE_NOT_READABLE,LEAD,https://www.supermarchesmatch.fr/fr/p/1754550/alsace-lait-lait-frais-entier-brique-1l,BROWSER_INCONCLUSIVE,DIRECT,FR,CCTLD,BROWSER_DOM,,,"INCONCLUSIVE: generic page title — the drive shows a store-selection shell, product data n",4d179af1c48bd97c,2026-09-10T13:52Z,2,
FR,★★★★★,CREAM,3451790256745,NO,KANDYDAT_PR,Elle & Vire Crème UHT fluide entière 30% MG 2×25cl,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.auchan.fr/elle-vire-creme-fluide-entiere-30-mg-uht/pr-C1178091,200,DIRECT,FR,CCTLD,RAW_HTML,,"alues""> 21864 / 3451790256745 ",ELLE &amp; VIRE Cr&#xE8;me fluide enti&#xE8;re 30%MG UHT 2x25cl pas cher - Auchan.fr,8418099360beb42e,2026-09-10T13:38:52Z,2,www.auchan.fr
FR,★★★★★,SMP,3043934232700,NO,KANDYDAT_PR,Lait écrémé en poudre,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.auchan.fr/regilait-lait-ecreme-en-poudre/pr-C1274757,200,DIRECT,FR,CCTLD,RAW_HTML,,"alues""> 61039 / 3043934232700 ",REGILAIT Lait &#xE9;cr&#xE9;m&#xE9; en poudre 300g pas cher - Auchan.fr,467b7bc1e3e4fe35,2026-09-10T13:38:53Z,3,lafamilleatable.com;regilait.com;www.auchan.fr
FR,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
FR,★★★★★,DEXTROSE,,,WYMAGA_GTIN,Dextrose Monohydrate,NO_EAN_IN_V7,BRAK,https://www.meilleurduchef.com/en/shop/baking-supplies/ingredients/sugar-sweetener/lfr-dextrose-monohydrate.html,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,,Dextrose Monohydrate - 1kg - Louis François - Meilleur du Chef,0e3c6e9382a6ab93,2026-09-10T13:39:50Z,5,
FR,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,6,saporepuro.com
ES,★★★★★,MILK,8410128010102,NO,KANDYDAT_PR,"Pascual Clásica Leche Entera UHT, 6 x1 L",EAN_ON_MARKET_PAGE,CONFIRMED,https://soria.e-leclerc.es/detalle/-/Producto/leche-entera-6x1l/8410128010102,200,DIRECT,ES,CCTLD,RAW_HTML,EUR,"#x2e;es&#x2f;detalle&#x2f;-&#x2f;Producto&#x2f;leche-entera-6x1l&#x2f;8410128010102"" rel=""canonical"" />",Leche entera 6x1l - E.leclerc Soria,f8e6b11722da8536,2026-09-10T13:38:30Z,2,soria.e-leclerc.es
ES,★★★★★,CREAM,8410379941019,NO,KANDYDAT_PR,Reny Picot Nata líquida especial para montar 30% 200 ml,EAN_ONLY_ECHOED_FROM_URL_OR_QUERY,LEAD,https://distribucionesplata.com/tienda/alimentacion-y-bebidas/21850-nata-reny-picot-liqmont-mg30-bk200m-8410379941019.html,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,,Comprar Nata Líquida para Montar Reny Picot 30% Materia Grasa 200 ml,5b7dfa40fca3899d,2026-09-10T13:37:26Z,2,
ES,★★★★★,SMP,8410100002330,NO,KANDYDAT_PR,Leche desnatada en polvo rica en calcio,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.online.bmsupermercados.es/es/p/leche-en-polvo-400-g/6029,200,DIRECT,ES,CCTLD,BROWSER_DOM,,"class=""product-info-name--ean""><span translate="""">EAN</span>: 8410100002330 </p>",Sveltesse Leche en polvo 400 g | BM Supermercados Online,,2026-09-10T13:56Z,3,www.online.bmsupermercados.es
ES,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
ES,★★★★★,DEXTROSE,8437000514770,NO,WYMAGA_ETYKIETY,DAYELET DEXTROSA,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.zonasin.es/producto/dextrosa-400-g-dayelet-l22027,200,DIRECT,ES,CCTLD,RAW_HTML,,"cia-producto"">Ref: L22027</div> <div class=""ean-producto"">EAN: 8437000514770</div> <div c",DEXTROSA DAYELET,53d0219b9d833751,2026-09-10T13:40:29Z,3,www.zonasin.es
ES,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,5,saporepuro.com
NL,★★★★★,MILK,8712800147770,NO,KANDYDAT_PR,Campina Langlekker Volle Melk 1 L,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.campina.nl/producten/campina-langlekker-volle-melk-1l,200,DIRECT,NL,CCTLD,RAW_HTML,,"aph"": [ { ""@type"": ""Product"", ""@id"": ""8712800147770"", ""name",Campina Langlekker Volle Melk 1L,abf068ec50f944f4,2026-09-10T13:38:58Z,3,www.campina.nl
NL,★★★★★,CREAM,8718907237888,NO,KANDYDAT_PR,AH Slagroom houdbaar 30% 200 ml,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.ah.nl/producten/product/wi34471/ah-slagroom-houdbaar,200,DIRECT,NL,CCTLD,BROWSER_DOM,,"""weight"":{""@type"":""QuantitativeValue"",""value"":""200 ml""},""gtin13"":""8718907237888"",""image"":""",AH Slagroom houdbaar bestellen | Albert Heijn,,2026-09-10T13:52Z,1,www.ah.nl
NL,★★★★★,SMP,8717677967827,NO,KANDYDAT_PR,Mattisson Biologische Magere Melkpoeder 450 g,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.mattisson.nl/biologische-magere-melkpoeder,200,DIRECT,NL,CCTLD,RAW_HTML,EUR,"2 text-left text-gray-900 product-attribute-value"" data-th=""EAN-code"">8717677967827</td> ",Magere Melkpoeder biologisch | Online bij Mattisson.nl,327c00a8de050dc5,2026-09-10T13:39:47Z,3,www.baktotaal.nl;www.leef.nl;www.mattisson.nl
NL,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
NL,★★★★★,DEXTROSE,,,WYMAGA_GTIN,Dextrose 5 kg,NO_EAN_IN_V7,BRAK,https://www.naturalspices.nl/dextrose,200,DIRECT,NL,CCTLD,RAW_HTML,EUR,,Dextrose Kopen Online | Natuurlijke Druivensuiker Bestellen,f2f9d03c43a617b7,2026-09-10T13:39:54Z,1,
NL,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,5,saporepuro.com
IE,★★★★★,MILK,5011056020053,NO,KANDYDAT_PR,Avonmore Fresh Whole Milk 2 Litre,EAN_ON_AGGREGATOR,LEAD,https://chompthis.com/product/?id=419344,200,AGGREGATOR,,GENERIC_TLD,RAW_HTML,,"or"" content=""Peter Merrill""> <!-- Title --> <title>Milk (5011056020053) - Is it Vegan, Veg","Milk (5011056020053) - Is it Vegan, Vegetarian, or Gluten-Free? - CHOMP",46e99370a9d29ddf,2026-09-10T13:37:18Z,5,chompthis.com
IE,★★★★★,CREAM,5900820000455,NO,KANDYDAT_PR,Łaciata Śmietanka UHT 30% 500 ml,EAN_ON_MARKET_PAGE,CONFIRMED,https://moldovastore.ie/products/114/8433,200,DIRECT,IE,CCTLD,RAW_HTML,, Fresh Cream 30% 500ml</h2><h4>Laciata - Fresh Cream 30% 500ml</h4><p>5900820000455</p><p></p><div id=',Laciata - Fresh Cream 30% 500ml | 5900820000455| Department products at Moldova Retail Sto,8bd5c9e8d8009c8c,2026-09-10T13:38:02Z,3,mlekpol.com.pl;moldovastore.ie
IE,★★★★★,SMP,5060113910714,NO,KANDYDAT_PR,Milfresh Gold Superior Granulated Skimmed Milk 500 g,EAN_ON_FOREIGN_MARKET_PAGE,LEAD,https://www.templemanrv.co.uk/nutrition-pdf/9501/,200,DIRECT,GB,CCTLD,RAW_HTML,,d7a9d35fe747fff699 Specification Type Drinks Inner Component GTIN 5060113910714 Manufacturer Compo,,c45e7e8b9fe39829,2026-09-10T13:40:14Z,3,www.templemanrv.co.uk
IE,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
IE,★★★★★,DEXTROSE,,,WYMAGA_ETYKIETY,Dextrose Monohydrate 25 kg,NO_EAN_IN_V7,BRAK,https://kiernans.ie/product/dextrose-monohydrate/,200,DIRECT,IE,CCTLD,RAW_HTML,,,Dextrose Monohydrate - Kiernan&#039;s Food Ingredients,89355c5bb1894c07,2026-09-10T13:37:47Z,1,
IE,★★★★★,TARA,8055728540170,NO,KANDYDAT_PR,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,EAN_ON_GENERIC_TLD_PAGE,LEAD,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,200,DIRECT,,GENERIC_TLD,RAW_HTML,EUR,"0,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""8055728540170"",""featured_media"":{",Tara Seed Flour | SaporePuro,41be4c71cd4a344d,2026-09-10T13:38:23Z,5,saporepuro.com
CA,★★★★★,MILK,0064420010025,NO,KANDYDAT_PR,Natrel Fine-Filtered Homogenized Milk 3.25% M.F. 2 L,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.agropursolutions.ca/fr/produits/lait/finement-filtre/2l-natrel-lait-finement-filtre-325,200,DIRECT,CA,CCTLD,RAW_HTML,,"lutions/files/2025-11/064420010025.png"" width=""360"" height=""826"" alt=""064420010025"" typeof=""foaf:Image","2L NATREL LAIT FINEMENT FILTRÉ 3,25% | Agropur Solutions",f44e5f7e3846cbf1,2026-09-10T13:38:43Z,4,dairyfarmersofcanada.ca;www.agropursolutions.ca
CA,★★★★★,CREAM,068700100451,NO,KANDYDAT_PR,Dairyland Whipping Cream 33% M.F.,MARKET_PAGE_WITHOUT_EAN,LEAD,https://www.dairyland.ca/en/products/cream/33-whipping-cream,200,DIRECT,CA,CCTLD,BROWSER_DOM,,,33% Whipping Cream | Dairyland,,2026-09-10T13:56Z,3,
CA,★★★★★,SMP,059000111322,NO,KANDYDAT_PR,Carnation Fat Free Instant Skim Milk Powder,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.carnationmilk.ca/en/products/instant-skim,200,DIRECT,CA,CCTLD,RAW_HTML,,"dition to drinks and smoothies. Store in a cool dry place."",""gtin12"":""059000111322"",""gtin14"":""00059000",Instant Skim Milk Powder,d642c8d5c5cbe073,2026-09-10T13:38:59Z,3,www.amazon.ca;www.carnationmilk.ca
CA,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
CA,★★★★★,DEXTROSE,700956300208,NO,WYMAGA_ETYKIETY,ProteinCo Dextrose Plain,EAN_ON_MARKET_PAGE,CONFIRMED,https://proteinco.ca/products/dextrose,200,DIRECT,CA,CCTLD,RAW_HTML,CAD,"0,""compare_at_price"":4495,""inventory_management"":""shopify"",""barcode"":""700956300208 \/ X002JSC1IB"",""fea",Dextrose - ProteinCo,c7e5a7fd4dc184cb,2026-09-10T13:38:20Z,3,proteinco.ca;www.amazon.ca
CA,★★★★★,TARA,,,WYMAGA_ETYKIETY,Louis François Tara Gum 1 kg,NO_EAN_IN_V7,BRAK,https://supplies.gusta.ca/products/louis-francois-tara-gum,200,DIRECT,CA,CCTLD,RAW_HTML,CAD,,"Louis Francois Tara Gum, Gluten-Free, Vegan Thickener &amp; Stabilizer &ndash; Gusta Suppl",82667b7eeb078b0a,2026-09-10T13:38:35Z,2,
DE,★★★★★,MILK,4045500011145,NO,KANDYDAT_PR,"frischli H-Vollmilch 3,5% 1 L",EAN_ON_MARKET_PAGE,CONFIRMED,https://www.frischli.de/produkte/index.htm?showproduct=67006&showrange=73333,200,DIRECT,DE,CCTLD,RAW_HTML,,"ce""><tr><th>Artikel-Nr.</th><th>1114</th><tbody><tr><td>GTIN:</td><td>4045500011145</td></tr><tr><td>Ge","frischli | H-Vollmilch 3,5 %",49d084372d04a3d3,2026-09-10T13:39:21Z,2,www.frischli.de
DE,★★★★★,CREAM,4070700003058,NO,KANDYDAT_PR,Hofgut Schlagsahne 30% 200 g,EAN_ON_MARKET_PAGE,CONFIRMED,https://www.hohenloher-molkerei.de/hubfs/website/produkte/Sahne/Datenblatt/35305_Hofgut_Schlagsahne_30_200g.pdf?hsLang=de,200,DIRECT,DE,CCTLD,RAW_HTML,,"ng Ø Becher in mm Höhe in mm Bruttogewicht pro Stück in g 35305 Euro 4070700003058 0,20 Stück Becher 7",,bb48535df7c44ee0,2026-09-10T13:39:26Z,2,edeka-foodservice.de;www.hohenloher-molkerei.de
DE,★★★★★,SMP,4008230010901,NO,KANDYDAT_PR,Saliter Magermilchpulver 250 g,MARKET_PAGE_WITHOUT_EAN,LEAD,https://saliter.de/milchprodukte/milchpulver/magermilchpulver/,200,DIRECT,DE,CCTLD,BROWSER_DOM,,,Magermilchpulver - Saliter,,2026-09-10T13:56Z,4,
DE,★★★★★,SUCROSE,,,READY_PI,Biały cukier krystaliczny — 100% cukier,GENERIC_PI_NO_EAN,N/A,,,,,,,,,,,,0,
