iso2,role,ean,url,html_available,jsonld_nutrition,ingredients_on_page,ingredients_snippet,energy_on_page,fat_on_page
SI,DEXTROSE,8588006139983,https://gymbeam.si/dekstroza-gymbeam.html,YES,NO,YES,Sestavine za kuhanje Olja Mešanice za kuhanje in peko Moka Druge sestavine za kuhanje Diete BIO-izdelki Veganski izdelki Brezglutenski izdelki Izdelki brez laktoze Vegetarijanski izdelki Proteini Siro,YES,NO
LK,MILK,4792116211000,https://mart.mrdeal.lk/product/ambewela-fresh-milk-full-cream-1l/4792116211000,YES,NO,NO,,NO,NO
TH,MILK,8850329120116,https://www.tops.co.th/th/meiji-pasteurized-milk-plain-200cc-8850329120116,NO (browser evidence; re-fetch needed),,,,,
TW,MILK,4955447100416,https://shop.use.com.tw/products/%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%A5%E9%AB%9836%E7%89%9B%E4%B9%B3,YES,NO,YES,成分無調整，最自然濃郁。 成分：100%生乳&nbsp; 無脂肪乳固體成分：8.5%&nbsp; 乳脂肪成分：3.6% &nbsp; 營養標示 每100毫升 熱量：66大卡、蛋白質：3.2公克 脂肪：3.8公克 &nbsp; 飽和脂肪 2.5公克 &nbsp; 反式脂肪 0公克 碳水化合物：4.8公克、鈉：39毫克、鈣：106毫克、維他命B2：0.2毫克 &nbsp; 相關商品 木村聖誕祈願汽水 ,NO,NO
UY,MILK,7790742335500,https://www.eldorado.com.uy/leche-la-serenisima-larga-vida-entera-1lt/p,YES,NO,NO,,NO,NO
UY,SMP,7730105004155,https://elnaranjo.com.uy/productos/leche-en-polvo-descremada-conaprole-200g,YES,NO,NO,,NO,NO
HU,MILK,5998200460166,https://www.papir-bolt.hu/Tej-MIZO-35-1L,YES,NO,NO,,NO,YES
HU,CREAM,8585002501837,https://bevasarlas.tesco.hu/shop/hu-HU/products/210504341,NO (browser evidence; re-fetch needed),,,,,
HU,SMP,5997176735995,https://alto.hu/tutti-sovany-tejpor-porlasztva-szaritott-90g,YES,NO,YES,"Összetevők Sovány tejpor, porlasztva szárítva. Tárolási Útmutató Száraz, hűvös helyen tárolandó, eredeti csomagolásában. Használat után mindig zárja vissza a csomagot a frissesség megőrzése érdekében.",NO,NO
HU,DEXTROSE,8588006139983,https://gymbeam.hu/dextroz-gymbeam.html,YES,NO,YES,"összetevőket, így vegánok számára is alkalmas. A dextróz előnyei szénhidráttartalmú energiaforrás más néven szőlőcukor a gyors szénhidrátok közé tartozik oldódó por formában van energiát biztosít edzé",YES,YES
AE,MILK,6291030200032,https://www.sharjahcoop.ae/en/al-rawabi-fresh-milk-full-cream-1-l/p/6291030200032,YES,NO,YES,Ingredients Breadcrumbs Lemon & Lime Juice Oils & Ghee Salt & Pepper Stocks & Gravy Tahinah Vinegar Coconut Milk & Powder Condiments & Sauces BBQ Sauces Cooking Sauces Mayonnaise Pasta Sauces Salad Dr,NO,NO
