iso2,locale,term_as_printed,product_name,url,page_title,term_in_page_title,page_market,market_by,source_is_aggregator,term_evidence,evidence_method,note,agent,checked_utc
BR,pt,Açúcar Refinado,Açúcar Refinado União 1kg,https://www.superpaguemenos.com.br/acucar-refinado-uniao-1kg/p,Açúcar Refinado União 1kg | Supermercados Pague Menos,True,BR,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"União is the brand; 'Açúcar Refinado' is the standard shelf descriptor, matching Prezunic/Bretas/Zona Sul/Coop wording seen across .com.br supermarkets.",SUCROSE_TERMS.json,2026-09-10T18:04:31Z
CN,zh-Hans,精制白砂糖,精制白砂糖,https://www.jd.com/chanpin/2646712.html,【精制白砂糖】价格_图片_品牌_怎么样-京东商城,True,,GENERIC_TLD,False,LEAD,RAW_HTML,"JD.com product-info page for plain white granulated sugar; page_market did not auto-resolve (generic .com host, no structured currency/address signal on this li",SUCROSE_TERMS.json,2026-09-10T18:04:31Z
CY,tr,Şeker,Şeker,https://supermarketkibris.com/products/seker,Şeker - Supermarket Kıbrıs - Online Market - Sanal Market,True,,GENERIC_TLD,False,LEAD,RAW_HTML,Supermarket Kıbrıs is a Northern-Cyprus (KKTC/TRNC) online grocer serving the Turkish-Cypriot community; page_market did not auto-resolve (generic .com host; TR,SUCROSE_TERMS.json,2026-09-10T18:04:33Z
CZ,cs,Cukr krystal,Cukr krystal 1kg,https://eshop.coop-box.cz/produkt/Cukr_krystal_1kg,Cukr krystal 1kg | Produkt | COOP-BOX e-shop s potravinami,True,CZ,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"nakup.itesco.cz (Tesco CZ) 403-blocked our fetch; COOP-BOX (Czech COOP cooperative e-shop) served cleanly, no brand in title.",SUCROSE_TERMS.json,2026-09-10T18:04:33Z
EE,et,Suhkur,Suhkur EXTRA LINE 1kg,https://barbora.ee/toode/suhkur-extra-line-1-kg,Suhkur EXTRA LINE 1kg | BARBORA,True,EE,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,selver.ee title tag returned only 'Selver' (JS shell); Barbora.ee (major EE online grocer) gave a clean title+ingredients. Ingredients snippet reads 'Valge suhk,SUCROSE_TERMS.json,2026-09-10T18:04:32Z
EG,ar,سكر ابيض,سكر ابيض 1 كيلو,https://www.maps-eg.com/ar/product-page/%D8%B3%D9%83%D8%B1-%D8%A7%D8%A8%D9%8A%D8%B6-1-%D9%83%D9%8A%D9%84%D9%88,سكر ابيض 1 كيلو | MAPS Supplier,True,EG,CURRENCY,False,LEAD,RAW_HTML,Carrefour Egypt and Shoubra Masr pages returned empty bodies to our fetch (bot/geo gating); Amazon.eg corroborates the same wording (title 'Amazon.eg : سكر ابيض,SUCROSE_TERMS.json,2026-09-10T18:04:32Z
GR,el,Ζάχαρη Λευκή,Ζάχαρη Λευκή Κρυσταλλική 1kg,https://greekdeliplus.gr/zaxari-ipokatastata-zaxaris/486746-zaxari-lefki-kristalliki-1-kg-5213004880003.html,Ζάχαρη Λευκή Κρυσταλλική 1kg,True,GR,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,EAN 5213004880003 confirmed as gtin13 data token on page. Ζάχαρη = bare generic 'sugar'; Λευκή = white; Κρυσταλλική (crystalline) dropped from term_as_printed a,SUCROSE_TERMS.json,2026-09-10T18:04:33Z
HR,hr,Šećer kristal,Viro Šećer kristal 1 kg,https://www.konzum.hr/web/products/secer-kristal-viro-1-kg,Viro Šećer kristal 1 kg - Konzum,True,HR,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Konzum is HR's largest supermarket chain; Viro is the brand (Croatia's dominant sugar producer), Šećer kristal is the generic product-type term.",SUCROSE_TERMS.json,2026-09-10T18:04:33Z
HU,hu,Kristálycukor,Kristálycukor 1 kg,https://www.suplix.hu/kristalycukor-1-kg-692,"Kristálycukor 1 kg - Egyéb - Suplix.hu – Cégellátás egyszerűen, gyorsan, raktárról",True,HU,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"pcx.hu (403) and netdiszkont.hu (404) failed; CoopOnline.hu corroborates ('KORONÁS KRISTÁLYCUKOR 1KG', Koronás=brand). Suplix.hu title has no brand, cleanest ba",SUCROSE_TERMS.json,2026-09-10T18:04:34Z
ID,id,Gula Pasir,Gulaku Gula Pasir 1 kg,https://pasarsegar.co.id/product/gulaku-gula-pasir-1-kg-37/?product_id=153014,Gulaku Gula Pasir 1 kg – Pasar Segar,True,ID,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,Gulaku is the brand (PT Sentra Usahatama Jaya); Gula Pasir ('sand sugar') is Indonesia's standard generic term for granulated sugar.,SUCROSE_TERMS.json,2026-09-10T18:04:34Z
IL,he,סוכר לבן,"סוכר סוגת 1 ק""ג","https://chp.co.il/%D7%A9%D7%A9%D7%AA+%D7%94%D7%99%D7%9E%D7%99%D7%9D,+%D7%9E%D7%91%D7%A9%D7%A8%D7%AA+%D7%A6%D7%99%D7%95%D7%9F/182/1015/%D7%A1%D7%95%D7%9B%D7%A8+%D7%A1%D7%95%D7%92%D7%AA+1+%D7%A7%22%D7%92,+(%D7%A1%D7%A4%D7%A7:+%D7%A1%D7%95%D7%92%D7%AA,+%D7%91%D7%A8%D7%A7%D7%95%D7%93:+7290000211503)/7290027600007_7290000211503","CHP - השוואת מחירים בסופר של סוכר לבן, 1 ק""ג",True,IL,CCTLD,True,LEAD,RAW_HTML,chp.co.il is a price-comparison site (not in the verifier's aggregator exclusion list) carrying barcode 7290000211503 (Sugat brand) with page title reading 'סוכ,SUCROSE_TERMS.json,2026-09-10T18:04:34Z
IS,is,sykur,First Price sykur,https://kronan.is/vara/100228940-first-price-sykur,First Price sykur | Krónan,True,IS,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,aha.is 403-blocked; Krónan (major IS supermarket chain) served cleanly. First Price is a Nordic private-label brand; sykur is the bare generic word.,SUCROSE_TERMS.json,2026-09-10T18:04:34Z
JP,ja,上白糖,上白糖 スプーン,https://onigo.co.jp/products/i-aell/,"上白糖 スプーン | 調味料・油・だし,砂糖 | スーパー価格で、すぐ届く。ONIGO",True,JP,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,スプーン (Spoon) is the brand (Nitto Sugar's 'Spoon Mark'); 上白糖 (jōhakutō) is the standard Japanese name for ordinary soft white table sugar; breadcrumb category sh,SUCROSE_TERMS.json,2026-09-10T18:04:35Z
KR,ko,백설탕,백설)백설탕 1kg,https://foodmallshop.co.kr/product/%EB%B0%B1%EC%84%A4%EB%B0%B1%EC%84%A4%ED%83%95-1kg/213/,백설)백설탕 1kg - 푸드몰,True,KR,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"백설 (Baeksul/CJ) is the brand shown bracketed before the product name; 백설탕 (baek-seoltang, 'white sugar') is Korea's standard generic term distinguishing it from",SUCROSE_TERMS.json,2026-09-10T18:04:37Z
LT,lt,Cukrus,Cukrus 1 kg,https://www.vynomeka.lt/cukrus-1-kg,Cukrus 1 kg | Saldainiai | Maisto prekės | Vynomeka,True,LT,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,barbora.lt 403-blocked; Vynomeka.lt served cleanly with no brand in title.,SUCROSE_TERMS.json,2026-09-10T18:04:35Z
LV,lv,Cukurs,Cukurs Rimi 1kg,https://www.rimi.lv/e-veikals/lv/produkti/iepakota-partika/saldas-garsvielas/cukurs/cukurs-rimi-1kg/p/801045,Cukurs Rimi 1kg,True,LV,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Rimi (major Baltic supermarket chain) own-label; Rimi is the retailer/brand, Cukurs is the bare generic word.",SUCROSE_TERMS.json,2026-09-10T18:04:36Z
RO,ro,Zahăr alb,Zahăr alb 1kg,https://www.freshful.ro/p/100150311-soland-zahar-alb-1kg,Zahăr alb 1kg - Prospețime și varietate - Freshful.ro,True,RO,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,Freshful.ro (Mega Image's online grocer) title carries no brand (Soland only appears in the URL slug); Zahăr alb (white sugar) is the generic term.,SUCROSE_TERMS.json,2026-09-10T18:04:35Z
SI,sl,Beli kristalni sladkor,Beli kristalni sladkor 1 kg,https://www.zrno.si/beli-kristalni-sladkor-1-kg-133637,BELI KRISTALNI SLADKOR 1 KG,True,SI,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Mercator/SPAR product pages 404'd or redirected to homepage; Zrno.si (SI food e-shop) title was printed all-caps ('BELI KRISTALNI SLADKOR 1 KG'), no brand shown",SUCROSE_TERMS.json,2026-09-10T18:04:36Z
SK,sk,Cukor kryštálový biely,Cukor kryštálový biely 1 kg,https://eshop.damito.sk/cukor-krystalovy-biely-1-kg,Cukor kryštálový biely 1 kg | DAMITO s. r. o.,True,SK,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,Damito (SK food-service wholesaler) title has no brand; distributor is Slovenské cukrovary per search snippet.,SUCROSE_TERMS.json,2026-09-10T18:04:36Z
TH,th,น้ำตาลทรายขาวบริสุทธิ์,มิตรผล น้ำตาลทรายขาวบริสุทธิ์ 1 กิโลกรัม,https://www.allonline.7eleven.co.th/p/%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%9C%E0%B8%A5-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%A5%E0%B8%97%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C-1-%E0%B8%81%E0%B8%B4%E0%B9%82%E0%B8%A5%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B8%A2%E0%B8%81%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%AD%E0%B8%9A-25-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99/573152/,มิตรผล น้ำตาลทรายขาวบริสุทธิ์ 1 กิโลกรัม (ยกกระสอบ 25 ชิ้น) | AllOnline,True,TH,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Bakeryland/Gourmet Market/Makro pages 404'd, SPA-shelled or only echoed the EAN from the URL; 7-Eleven AllOnline served cleanly. มิตรผล (Mitr Phol) is Thailand'",SUCROSE_TERMS.json,2026-09-10T18:04:37Z
TR,tr,Toz Şeker,Migros Toz Şeker 1 Kg,https://www.migros.com.tr/migros-toz-seker-1kg-p-328964,Migros Toz Şeker 1 Kg - Migros,True,TR,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"Migros (major TR chain) private label; ingredients read 'Beyaz kristal toz şeker. %100 pancar şekeri' (white crystal granulated sugar, 100% beet sugar). Toz Şek",SUCROSE_TERMS.json,2026-09-10T18:04:36Z
TW,zh-Hant,細砂糖,細砂糖1kg,https://ycbake.com.tw/product/%E7%B4%B0%E7%A0%82%E7%B3%961kg/,細砂糖1kg - 永誠行,True,TW,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"永誠行 (Yung Cheng Hang) is the retailer, not a sugar brand. Page description explicitly equates synonyms: '細粒砂糖、細砂糖或白砂糖是一種常見的食用糖' (fine granulated sugar / 細砂糖 / w",SUCROSE_TERMS.json,2026-09-10T18:04:37Z
VN,vi,Đường trắng,Đường trắng cao cấp Biên Hòa Daily gói 1kg,https://winmart.vn/products/bien-hoa-duong-mia-cao-cap-1kg--s10009573,Đường trắng cao cấp Biên Hòa Daily gói 1kg,True,VN,CCTLD,False,RETAILER_PRINTED_TERM,RAW_HTML,"baominhmart.vn failed to load; WinMart (major VN supermarket chain) served cleanly. Biên Hòa Daily is the brand; Đường trắng (white sugar) is the generic term, ",SUCROSE_TERMS.json,2026-09-10T18:04:38Z
