iso2,priority,slot,owner_excel_product,owner_excel_pi,owner_excel_ean,working_excel_product,working_excel_ean,working_evidence_for_reference,s1_pi_ing,s2_pr_ing,s3_brand_product_ean,s4_market_availability,s5_source_evidence,s6_technical_readiness,s7_reconciled_2541,s8_genuine_gaps,s9_report_back,engine_10_10,country_grams_frozen,final_status
AU,★★★★★,MILK,,,,Devondale Full Cream Long Life Milk 1 L,9300639500041,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AU,★★★★★,CREAM,,,,Pauls Thickened Cream,9310036007296,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AU,★★★★★,SMP,,,,Devondale Instant Skim Milk Powder,9300639999005,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AU,★★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AU,★★★★★,DEXTROSE,,,,Lotus Glucose Powder (Dextrose) 500g,9317127061786,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
AU,★★★★★,STABILIZER,,,,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,MILK,,,,Harvey Fresh Full Cream Longlife Milk 1L,9311697100173,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,CREAM,,,,Emborg Natural Whipping Cream UHT 35.1% 1 L,5701215046399,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,SMP,,,,Real Food Organic Non-Fat Dry Milk Powder,733739058324,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,DEXTROSE,,,,Unicorn Dextrose Monohydrate Food Grade,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BD,★★★★,STABILIZER,,,,Tara Gum — Home 50g,819543011967,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,MILK,,,,Inex Lait entier UHT 1 L PET (art. 6013),54025059,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,CREAM,,,,AH Slagroom houdbaar 30% 200 ml,8718907237888,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,SMP,,,,Carrefour Classic' Lait Écrémé en Poudre 750 g,3245413563040,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,DEXTROSE,,,,Glucopur 250 g (5 × 50 g),,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BE,★★★★★,STABILIZER,,,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,MILK,,,,"Président UHT 3,5% / 3,6% 1 L",3228022980095,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,CREAM,,,,Madeta Jihočeská smetana UHT 31%,8593803253053,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,SMP,,,,"Сухо обезмаслено мляко 1,5%",3800081460239,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,DEXTROSE,,,,"Декстроза - GymBeam, bez dodatków smakowych",8588006139983,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BG,★★★★,STABILIZER,,,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,MILK,,,,Organic Milk Full Fat 200ml,5711953072352,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,CREAM,,,,Puck Whipping Cream UHT,5700426230177,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,SMP,,,,Régilait Instant Skimmed Milk Powder 0% Fat,3043931692415,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,DEXTROSE,,,,Dextrose Monohydrate – food applications,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BH,★★★★,STABILIZER,,,,Modernist Pantry Pure Tara Gum Powder,819543011967,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,MILK,,,,Piracanjuba Leite Integral UHT 1 L,7898215151708,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,CREAM,,,,Piracanjuba Seleção Creme de Leite Gourmet 30%,7898215151975,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,SMP,,,,Molico Desnatado Leite em Pó,7891000101506,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,DEXTROSE,,,,Dextrose Monohidratada,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
BR,★★★★,STABILIZER,,,,Goma Tara INS 417 — 1 kg,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,MILK,,,,Natrel Fine-Filtered Homogenized Milk 3.25% M.F. 2 L,0064420010025,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,CREAM,,,,Dairyland Whipping Cream 33% M.F.,068700100451,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,SMP,,,,Carnation Fat Free Instant Skim Milk Powder,059000111322,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,DEXTROSE,,,,ProteinCo Dextrose Plain,700956300208,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CA,★★★★★,STABILIZER,,,,Louis François Tara Gum 1 kg,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CH,★★★★★,MILK,,,,Prima Vollmilch UHT 3.5% 1L Tetra Base,7610900041589,CONFIRMED,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CH,★★★★★,CREAM,,,,Valflora Vollrahm UHT 35% 250 ml,7613269880585,LEAD,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CH,★★★★★,SMP,,,,Coop Magermilchpulver 350 g,,BRAK,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
CH,★★★★★,SUCROSE,,,,Biały cukier krystaliczny — 100% cukier,,N/A_GENERIC,PENDING_OWNER_EXCEL,N/A (global PI),N/A (global PI),N/A (global PI),PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING_OWNER_EXCEL,PENDING,NO,NOT_FINAL (D-27)
