market_iso2,country,priority,region,functional_slot,working_excel_grams,final_grams,pi_ing,pi_name_final,product_mode,stabilizer_type,consumer_term_local,v7_proposal_key,pr_final_id,brand,product_name,pack,ean_gtin,url_product,page_market,market_by,evidence_method,evidence_utc,evidence_class,selection_authority,eligible_for_customer_pdf,blocking_reason,next_step,identifier_confirmed,market_binding_confirmed,market_binding_signal,local_availability_confirmed
AR,Argentina,★★★★,LATAM_SOUTH_CONE,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-AR-PRODUCT,,Bioenzim,Dextrosa Monohidratada x 1kg,1 kg,,https://bioenzimtienda.com/productos/dextrosa-monohidratada-x-1kg-1j5jc/,,,,,BRAK,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_EAN_IN_V7,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,False,CURRENCY_ONLY,False
AR,Argentina,★★★★,LATAM_SOUTH_CONE,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-AR-PRODUCT,,Química Palumbo,Goma Tara Grado Alimenticio Calidad Premium,Gramatura niepubliczna,,https://www.quimicapalumbo.com.ar/productos/goma-tara-grado-alimenticio-calidad-premium/,,,,,BRAK,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_EAN_IN_V7,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
AT,Austria,★★★★★,EU27,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-GTIN-9066000164907,,Schärdinger,"Schärdinger Vollmilch 3,5% ESL 1 L",1 L carton,9066000164907,https://dokumente.kastner.at/lmiv/kastner/222821.pdf,AT,CCTLD,RAW_HTML,2026-09-10T13:37:27Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AT,Austria,★★★★★,EU27,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-9066000864401,,Alpiland,Alpiland H-Schlagrahm 30% 1 L,1 L,9066000864401,https://shop.kastner.at/222148.html,AT,CCTLD,RAW_HTML,2026-09-10T13:38:26Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AT,Austria,★★★★★,EU27,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-AT-SKU,,Wild Thing,Wild Thing Magermilchpulver 500 g,500 g,,https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g,,,,,BRAK,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_EAN_IN_V7,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
AT,Austria,★★★★★,EU27,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,SA10: de: Saccharose (+Zucker),GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_EVIDENCE_OR_OWNER_DECISION,False,False,NONE,False
AT,Austria,★★★★★,EU27,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-GTIN-04250573301738,,Golden Peanut,Dextrose monohydrat Pulver 5 kg,5 kg wiadro,4250573301738,https://www.golden-peanut.de/Dextrose-monohydrat-Pulver/11135-01,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_FOREIGN_MARKET_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,OTHER_MARKET:DE,False
AT,Austria,★★★★★,EU27,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-GTIN-08055728540170,,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
AU,Australia,★★★★★,ANZ,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-GTIN-9300639500041,,Devondale,Devondale Full Cream Long Life Milk 1 L,1 L,9300639500041,https://www.thedistributorscairns.com.au/product/DEVONDALE_FULL_CREAM_1LIT_MILK,AU,CCTLD,RAW_HTML,2026-09-10T13:40:15Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AU,Australia,★★★★★,ANZ,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-9310036007296,,Pauls,Pauls Thickened Cream,300 ml,9310036007296,https://mylactalis.com.au/pauls-thickened-cream-300ml-regular,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,MARKET_PAGE_WITHOUT_EAN,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
AU,Australia,★★★★★,ANZ,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-09300639999005,,Devondale,Devondale Instant Skim Milk Powder,1 kg,9300639999005,https://simplevitamins.com.au/product/devondale-skim-milk-powder-1kg/,AU,CCTLD,RAW_HTML,2026-09-10T18:14:10Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,False,True,CCTLD,False
AU,Australia,★★★★★,ANZ,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,SA10: en: granulated sugar (+sucrose/white sugar),GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_EVIDENCE_OR_OWNER_DECISION,False,False,NONE,False
AU,Australia,★★★★★,ANZ,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-GTIN-09317127061786,,Lotus,Lotus Glucose Powder (Dextrose) 500g,500 g,9317127061786,https://www.kadac.com.au/browser/product.php?sku=6178,AU,CCTLD,RAW_HTML,2026-09-10T13:39:37Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
AU,Australia,★★★★★,ANZ,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-GTIN-08055728540170,,SaporePuro,Tara Gum 50gr. / Gomma di Tara E417,50 g,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
BD,Bangladesh,★★★★,SOUTH_ASIA,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-GTIN-9311697100173,,Harvey Fresh,Harvey Fresh Full Cream Longlife Milk 1L,"1 L, karton UHT",9311697100173,https://online-price-watch.consumer.org.hk/opw/product/P000002592,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_FOREIGN_MARKET_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,OTHER_MARKET:HK,False
BD,Bangladesh,★★★★,SOUTH_ASIA,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-5701215046399,,Emborg,Emborg Natural Whipping Cream UHT 35.1% 1 L,1 L,5701215046399,https://www.meatup.shop/products/cream-whipping,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
BD,Bangladesh,★★★★,SOUTH_ASIA,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-00733739058324,,NOW Foods,Real Food Organic Non-Fat Dry Milk Powder,12 oz (340 g),733739058324,https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
BD,Bangladesh,★★★★,SOUTH_ASIA,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,bn:চিনি,GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,https://bdtotals.com/product/%E0%A6%A4%E0%A7%80%E0%A6%B0-%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A6%BF/,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_APPROVED (D-32),False,False,NONE,False
BD,Bangladesh,★★★★,SOUTH_ASIA,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-BD-PRODUCT,,Unicorn,Unicorn Dextrose Monohydrate Food Grade,50 kg HDPE bag; minimum order 100 kg,,https://echem.com.bd/item/unicorn-dextrose-monohydrate-food-grade-34g0679qp7,,,,,BRAK,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_EAN_IN_V7,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
BD,Bangladesh,★★★★,SOUTH_ASIA,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-MP-1508-50,,Modernist Pantry,Tara Gum — Home 50g,50 g (manufacturer Home pack; Ubuy title also calls it 2 oz),819543011967,https://modernistpantry.com/products/tara-gum.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
BE,Belgium,★★★★★,EU27,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-GTIN-54025059,,Inex,Inex Lait entier UHT 1 L PET (art. 6013),1 L PET bottle; case 6 x 1 L,54025059,https://www.bruyerre.be/en/shop/00074227-inex-6013-whole-milk-uht-pet-6-x-1l-167269/document/27519,BE,CCTLD,RAW_HTML,2026-09-10T13:38:58Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
BE,Belgium,★★★★★,EU27,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-8718907237888,,AH,AH Slagroom houdbaar 30% 200 ml,200 ml,8718907237888,https://www.ah.be/producten/product/wi34471/ah-slagroom-houdbaar,BE,CCTLD,BROWSER_DOM,2026-09-10T13:52Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
BE,Belgium,★★★★★,EU27,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-03245413563040,,Carrefour Classic',Carrefour Classic' Lait Écrémé en Poudre 750 g,"750 g; 7,5 l mleka po odtworzeniu",3245413563040,https://www.carrefour.be/fr/classic-lait-ecreme-en-poudre-7.5-l/07132606.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,MARKET_PAGE_WITHOUT_EAN,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
BE,Belgium,★★★★★,EU27,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,SA10: de: Saccharose (+Zucker) | fr: saccharose (+sucre blanc) | nl: sacharose,GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_EVIDENCE_OR_OWNER_DECISION,False,False,NONE,False
BE,Belgium,★★★★★,EU27,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-BE-PRODUCT,,Revogan,Glucopur 250 g (5 × 50 g),5 × 50 g,,https://webshop.revogan.be/en/shop/1204-glucopur-250g-5x50g-14864,,,,,BRAK,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_EAN_IN_V7,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
BE,Belgium,★★★★★,EU27,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-GTIN-08055728540170,,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
BG,Bulgaria,★★★★,EU27,MILK,672,AFTER_ENGINE_10_10 (D-27),PI-ING-000236,MILK · 3.5% FAT · Chilled,EXACT_PR,,,MILK-BG-PRESIDENT-UHT-36-1L,,Président,"Président UHT 3,5% / 3,6% 1 L",1 L,3228022980095,https://shop24.bg/pryasno-mlyako/466-pryasno-mlyako-president-35-1l-3228022980095.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ONLY_ECHOED_FROM_URL_OR_QUERY,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
BG,Bulgaria,★★★★,EU27,CREAM,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,EXACT_PR,,,CREAM-GTIN-8593803253053,,Madeta,Madeta Jihočeská smetana UHT 31%,250 ml carton,8593803253053,https://www.madeta.cz/produkty/jihoceska-smetana-trvanliva-31-250_ml,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_FOREIGN_MARKET_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,OTHER_MARKET:CZ,False
BG,Bulgaria,★★★★,EU27,SMP,35,AFTER_ENGINE_10_10 (D-27),PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,EXACT_PR,,,SMP-GTIN-03800081460239,,Bioset,"Сухо обезмаслено мляко 1,5%",50 g,3800081460239,https://randi.bg/suho-mliako-bioset-15-50gr,BG,CCTLD,RAW_HTML,2026-09-10T13:38:21Z,CONFIRMED,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),ONLY_IF_OWNER_EXCEL_KEEPS_THIS_PRODUCT,,OWNER_EXCEL_RECONCILIATION → LABEL FACTS → ENGINE 10/10,True,True,CCTLD,True
BG,Bulgaria,★★★★,EU27,SUCROSE,130,AFTER_ENGINE_10_10 (D-27),PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,GLOBAL_PI_GENERIC,,bg:Захар,GENERIC-SUCROSE,,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,https://tmarketonline.bg/product/zahar-zahira-kristalna-1-kg,,,,,N/A_GENERIC,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,NO_LOCAL_TERM_EVIDENCE,TERM_APPROVED (D-32),False,False,NONE,False
BG,Bulgaria,★★★★,EU27,DEXTROSE,30,AFTER_ENGINE_10_10 (D-27),PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,EXACT_PR,,,DEX-GTIN-08588006139983,,GymBeam,"Декстроза - GymBeam, bez dodatków smakowych",1000 g,8588006139983,https://gymbeam.bg/dekstroza-1000-g-gymbeam.html,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,SOURCE_NOT_READABLE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",False,True,CCTLD,False
BG,Bulgaria,★★★★,EU27,STABILIZER,3,AFTER_ENGINE_10_10 (D-27),PI-ING-000492,TARA GUM · Stabilizer,EXACT_PR,TARA (as listed in v7),,TARA-GTIN-08055728540170,,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,,,,,LEAD,WORKING EXCEL v7 (incomplete) — awaiting Owner complete Excel (D-22),NO,EAN_ON_GENERIC_TLD_PAGE,"AWAIT_OWNER_EXCEL (no SHOP gap-filling, D-23)",True,False,NONE,False
