iso2,priority,slot,stabilizer_type,candidate_pi_ing,product_name,brand,pack,ean,identifier_type,url,evidence_label,identifier_confirmed,exact_product_identity_confirmed,market_binding_confirmed,local_availability_confirmed,verification_class,page_market,market_by,source_type,evidence_method,ean_context,ingredients_as_printed,technical_doc_url,flags,relation_to_working_excel,selection_status,agent,checked_utc
AT,★★★★★,DEXTROSE,,PI-ING-000494,Dextropur Traubenzucker 400 g,Dextro Energy (Dextropur),400 g,4150188396832,GTIN-13 (EAN-13),https://www.shop-apotheke.at/ernaehrung/D0272359/dextropur-traubenzucker.htm,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AT,CCTLD,DIRECT,RAW_HTML,"atedRatingRanking\"":2.75,\""listPrice\"":1529,\""created\"":1708905600000,\""ean\"":\""4150188396832\"",\""hasImage\"":true,\""ma","Zutaten: Dextrose, kristallwasserhaltig",https://static.shop-apotheke.at/media/pdf/tuev_nord_cert.pdf;https://static.shop-apotheke.at/media/pdf/01%20153%202418567_COMB_DE.pdf,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:23Z
BE,★★★★★,DEXTROSE,,PI-ING-000494,Druivensuiker poeder dextrose 1kg,Jacob Hooy & Co BV,1 kg,8719265050966,GTIN-13 (EAN-13),https://www.huisdecat.be/nl/druivensuiker-poeder-dextrose-1kg-hooy018,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,BE,CCTLD,DIRECT,RAW_HTML,"r dextrose 1kg"" /> <script type=""application/ld+json""> [{""gtin13"":""8719265050966"",""@context"":""https://sch",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:24Z
FI,★★★★★,DEXTROSE,,PI-ING-000494,ICONFIT Dextro,ICONFIT,1 kg,4744130012590,GTIN-13 (EAN-13),https://iconfit.fi/products/dextrose,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,FI,CCTLD,DIRECT,RAW_HTML,"e:currency"" content=""EUR"" /> <meta property=""product:retailer_item_id"" content=""4744130012590"" /> <meta name=""twitter:",Ainesosat Dekstroosimonohydraatti.,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:23Z
FR,★★★★★,DEXTROSE,,PI-ING-000494,Dextrose Monohydrate,Paticréa,100 g,3760209663785,GTIN-13 (EAN-13),https://cook-shop.fr/fr/additif/3086-dextrose-monohydrate-100g-paticrea.html,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,FR,CCTLD,DIRECT,RAW_HTML,"hydrate-100g-paticrea.jpg"", ""sku"": ""3086"", ""mpn"": ""3086"" ,""gtin13"": ""3760209663785"" , ""brand"": ",Ingrédients Epicerie Fine Épicerie Ottolenghi A tartiner ! Epicerie japonaise Epices rares Les sels Bouillons et jus Ariaké Epicerie Pâtissière Pâte d'oléagineux Additifs & Epicerie pro Gélifiants Coulis & purées de fruits Feuilles azymes -,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:23Z
GB,★★★★★,DEXTROSE,,PI-ING-000494,Dextrose (Glucose) Powder,Peak Supps,1 kg,5060471050336,GTIN-13 (EAN-13),https://peaksupps.co.uk/products/dextrose-glucose-powder,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,GB,CCTLD,DIRECT,RAW_HTML,"eight"":1200,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""5060471050336"",""requires_selling_plan""",Ingredients 100% Dextrose Monohydrate Powder (From Corn Starch). Allergens None.,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:25Z
IE,★★★★★,DEXTROSE,,PI-ING-000494,Dextrose Powder - 100% Glucose Carbs,Myprotein,1 kg,5055534301968,GTIN-13 (EAN-13),https://www.myprotein.ie/p/sports-nutrition/100-dextrose-glucose-carbs/10530118/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,IE,CCTLD,DIRECT,RAW_HTML," ""value"": 1, ""unitText"": ""kg"" }, ""gtin13"": ""5055534301968"", ""offers"": { ",Ingredients,http://s1.thcdn.com/design-assets/documents/THG-Anti-slavery-Statement.pdf,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:24Z
IT,★★★★★,DEXTROSE,,PI-ING-000494,Destrosio in Polvere - GymBeam,GymBeam,1000 g,8588006139983,GTIN-13 (EAN-13),https://gymbeam.it/destrosio-gymbeam.html,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,IT,CCTLD,DIRECT,RAW_HTML,"ema.org\/NewCondition"",""availability"":""https:\/\/schema.org\/InStock"",""gtin13"":""8588006139983"",""sku"":""5207""}],""priceCu",Composizione: Destrosio (D-glucosio monoidrato cristallino).,https://gymbeam.it/media/lab_tests/microbiology-heavy-metals-5206-1-unflavored-2023.pdf,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:25Z
NL,★★★★★,DEXTROSE,,PI-ING-000494,Druivensuiker / Dextrose Poeder,Jacob Hooy & Co BV,1 kg,8719265050966,GTIN-13 (EAN-13),https://www.groenlijf.nl/Druivensuiker-Dextrose-Poeder,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,NL,CCTLD,DIRECT,RAW_HTML,"gory"":"""",""itemCondition"":""http:\/\/schema.org\/NewCondition"",""mpn"":"""",""gtin13"":""8719265050966"",""sku"":"""",""productID"":""""","Ingredienten Druivensuiker / Dextrose. Producent Jacob Hooy & Co BV, Rijksweg 119, 1906 BG Limmen.",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:23Z
NZ,★★★★★,DEXTROSE,,PI-ING-000494,Murdoch's Dextrose,Murdoch Manufacturing Ltd,,,NONE,https://www.paknsave.co.nz/shop/product/5087979-ea-000?name=murdoch%27s-dextrose,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,NZ,CCTLD,DIRECT,RAW_HTML,,,,NEEDS_BROWSER,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:08Z
NZ,★★★★★,DEXTROSE,,PI-ING-000494,Dextrose Brewing Sugar,"(house brand, Brewshop NZ)",,,NONE,https://www.brewshop.co.nz/dextrose-brewing-sugar.html,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,NZ,CCTLD,DIRECT,RAW_HTML,,Ingredients Malts &amp; Grains Hops Yeast Beer Kits Recipe Packs Malt Extract High Gravity Wort Brewing Equipment Equipment Kegging Cleaning &amp; Extras Odds &amp; Sods Shortcuts Specials What&#x27;s New Coming Soon Gifts Gift Certificates,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:09Z
NZ,★★★★★,DEXTROSE,,,Lotus Glucose Powder (Dextrose) 500g,Lotus / Kadac,500 g,9317127061786,GTIN-13 (EAN-13),https://www.kadac.com.au/browser/product.php?sku=6178,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_FOREIGN_MARKET_PAGE,AU,CCTLD,DIRECT,RAW_HTML," <li class=""sub-title"">Barcode Number</li> <li>9317127061786</li> ",Dextrose Monohydrate (Glucose) 100%,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:09Z
PL,★★★★★,DEXTROSE,,PI-ING-000494,"Dekstroza - GymBeam, bez dodatków smakowych",GymBeam,1000 g,8588006139983,GTIN-13 (EAN-13),https://gymbeam.pl/dekstroza-gymbeam.html,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,PL,CCTLD,DIRECT,RAW_HTML,"ema.org\/NewCondition"",""availability"":""https:\/\/schema.org\/InStock"",""gtin13"":""8588006139983"",""sku"":""5207""}],""priceCu",Składniki do gotowania Oleje Mieszanki do gotowania i pieczenia Mąki Inne składniki do gotowania Diety Produkty BIO Produkty wegańskie Produkty bezglutenowe Produkty bez laktozy Produkty wegetariańskie Białko Białko serwatkowe Koncentrat bi,https://gymbeam.pl/media/lab_tests/microbiology-heavy-metals-5206-1-unflavored-2023.pdf,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DEX.json,2026-09-10T18:04:24Z
US,★★★★★,DEXTROSE,,,Brewmaster Corn Sugar / Dextrose Monohydrate,Brewmaster (MoreBeer),1 lb (454 g),843200100039,GTIN-12 (UPC-A),https://morebeer.com/products/corn-sugar,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"weight"":454,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""843200100039"",""requires_selling_plan""","Ingredients Beer Brewing Equipment & Supplies Draft Beer Dispensing Equipment Best Sellers Last 30 Days BrewBuilt® X3 Jacketed Uni Conical Fermenter €1.091,95 Slimline Torpedo Keg | Ball Lock Keg | Stainless Steel Corny Keg | Low2 Keg Lid O",https://morebeer.com/cdn/shop/files/MSDS---Dextrose-Monohydrate.pdf?v=1569666578695569958,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:06Z
FR,★★★★★,MILK,,,ALSACE LAIT Lait frais entier pasteurisé 1L,Alsace Lait,1 L brique/bouteille,3262970109108,GTIN-13 (EAN-13),https://www.auchan.fr/alsace-lait-lait-frais-entier/pr-C1177714,RESEARCH_LEAD,False,False,True,False,MARKET_PAGE_WITHOUT_EAN,FR,CCTLD,DIRECT,RAW_HTML,,,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:55:51Z
FR,★★★★★,MILK,,PI-ING-000236,Marguerite (Candia) Lait frais entier microfiltré,Marguerite / Candia,1 L bouteille,,NONE,https://courses.monoprix.fr/products/marguerite-lait-frais-entier-la-bouteille-de-1l/MPX_2613689,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,FR,CCTLD,DIRECT,RAW_HTML,,LAIT frais microfiltré entier,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:55:52Z
IE,★★★★★,MILK,,,"Avonmore Fresh Milk 2 L (Fresh Whole Milk, 3.5% fat)",Avonmore (Tirlán),2 L,5011056020053,GTIN-13 (EAN-13),https://shop.supervalu.ie/product/avonmore-fresh-milk-2-l-1005787000,RESEARCH_LEAD,False,False,True,False,MARKET_PAGE_WITHOUT_EAN,IE,CCTLD,DIRECT,RAW_HTML,,ingredients,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:55:52Z
IE,★★★★★,MILK,,,Avonmore Fresh Whole Milk (product line page),Avonmore (Tirlán),"line page, not pack-specific",,NONE,https://avonmore.ie/our-products/fresh-milk/,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,IE,CCTLD,DIRECT,RAW_HTML,,Pasteurised & homogenised whole milk,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:55:52Z
NO,★★★★★,MILK,,,"TINE Helmelk 3,5 % fett 1 liter",TINE SA,1 L,7038010000065,GTIN-13 (EAN-13),"https://produkter.matinfo.no/TINE-SA/Tinemelk-helmelk-3,5-pr-fett-1-liter/07038010000065",VERIFIED_PRODUCT_EVIDENCE,True,True,True,False,EAN_ON_MARKET_PAGE,NO,CCTLD,DIRECT,RAW_HTML,"h-padding"">Varenummer: 6 <span>|</span> EPD-nummer: 705525 <span>|</span> GTIN: 07038010000065</p> </div> ",Ingredienser: helmelk,,PRODUCT_REGISTER (identifier + identity + binding YES; availability not proven — D-36),SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T17:55:52Z
US,★★★★★,MILK,,,"Organic Valley Whole Milk, Ultra Pasteurized, Half Gallon",Organic Valley,half gallon (64 fl oz / 1.89 L),093966513004,GTIN-12 (UPC-A),https://www.organicvalley.coop/products/whole-milk/whole-milk-ultra-pasteurized-half-gallon/,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"00.png?w=800"",""url"":""https://www.organicvalley.coop/products/whole-milk"",""sku"":""093966513004"",""brand"":{""@type"":""Brand","Organic Grade A Milk, Vitamin D3",,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:20:42Z
US,★★★★★,MILK,,,"Organic Valley Organic Whole Milk, Half Gallon Carton (64 oz)",Organic Valley,half gallon (64 fl oz),093966513004,GTIN-12 (UPC-A),https://www.walmart.com/ip/Organic-Valley-Organic-Whole-Milk-Half-Gallon-Carton-64-oz/10849883,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"llVariants"":null,""variantCriteria"":[],""variants"":[],""groupMetaData"":null,""upc"":""093966513004"",""wfsEnabled"":false,""wfs","Ingredients Key item features Organic milk with 12 essential nutrients and protein in every serving Organic Valley milk comes from small family farms, where cows roam and graze on lush organic pastures From the farm to the carton, Organic V",,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:20:43Z
US,★★★★★,MILK,,,"Organic Valley, Organic Milk Whole Ultra Pasteurized 64oz",Organic Valley,64 oz,093966513004,GTIN-12 (UPC-A),https://westviewgrocery.com/products/organic-valley-organic-milk-whole-ultra-pasteurized-64oz/,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,hr /> <p>Regular: $4.49</p> <p>UPC: 093966513004</p> ,,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T17:20:42Z
AT,★★★★★,SMP,,,Wild Thing Magermilchpulver 500 g,Wild Thing,500 g,4262469050382,CHECKSUM_FAIL,https://trinklusiv.at/products/wild-thing-magermilchpulver-500-g,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AT,CCTLD,DIRECT,RAW_HTML,"and"": {""@type"": ""Brand"",""name"": ""Wild Thing""}, ""sku"": ""KD8462"", ""mpn"": ""4262469050382"", ""description"": ""Wi",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:05:10Z
AU,★★★★★,SMP,,,Devondale Instant Skim Milk Powder,Devondale (Saputo),1 kg,9300639999005,GTIN-13 (EAN-13),https://simplevitamins.com.au/product/devondale-skim-milk-powder-1kg/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AU,CCTLD,DIRECT,RAW_HTML,"v class=""product_meta""> <span class=""sku_wrapper"">SKU: <span class=""sku"">9300639999005</span></span> <span ",Skim milk.,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:10Z
BE,★★★★★,SMP,,,Carrefour Classic' Lait Écrémé en Poudre 750 g,Carrefour (Classic'),750 g,3245413563040,GTIN-13 (EAN-13),https://www.carrefour.be/fr/classic-lait-ecreme-en-poudre-7.5-l/07132606.html,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,BE,CCTLD,DIRECT,RAW_HTML,,,,NEEDS_BROWSER,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:14:06Z
DK,★★★★★,SMP,,,EASIS Skummetmælkspulver,EASIS,200 g,5703161113002,GTIN-13 (EAN-13),https://easis.dk/products/easis-skummetmaelkspulver,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,DK,CCTLD,DIRECT,RAW_HTML,"cy"": ""DKK"", ""priceValidUntil"": ""2026-09-20"",""sku"": ""7801300"",""gtin"": ""5703161113002"",""hasMerchantReturnPolic",Ingredienser: Spraytørret SKUMMETMÆLK,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_EU_DAIRY.json,2026-09-10T18:14:06Z
NZ,★★★★★,SMP,,,Woolworths Milk Skim Powder (v7 listing),Woolworths,1 kg,9300633765712,GTIN-13 (EAN-13),https://assets.woolworths.com.au/images/2010/789358_1.jpg?impolicy=wowb2bgpkhx,RESEARCH_LEAD,False,False,False,False,PAGE_WITHOUT_EAN,AU,CCTLD,DIRECT,RAW_HTML,,,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:07Z
NZ,★★★★★,SMP,,PI-ING-000270,Anchor Trim Milk Powder,Anchor (Fonterra),1 kg,,NONE,https://www.anchordairy.com/nz/en/products/milk-powders-and-uht/anchor-trim-milk-powder-1kg.html,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,NZ,PATH_LOCALE,DIRECT,RAW_HTML,,Skim Milk Powder (100%),,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:08Z
