iso2,priority,functional_slot,search_step,stabilizer_type,selected_pi_ing,selected_pr_ing,selected_product_name,ean_gtin,source_url,availability_evidence,technical_doc_url,evidence_class_slot,engine_readiness,processing_readiness,final_use_status,next_step,v7_status
CH,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
CL,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Goma Tara 100 Grs,,https://www.nutrigood.cl/tara,NO_EAN_IN_V7; page_market=CL; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
CN,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,"他拉胶 / 刺云实胶 / 塔拉胶 (Tara gum), food grade",,https://www.dafengshou88.com/products/show13150638.html,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
CO,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
CR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
CY,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
CZ,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Guma Tara Valknut / Tara guma Valknut,,https://www.valknut.cz/guma-tara-valknut/,NO_EAN_IN_V7; page_market=CZ; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
DE,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
DK,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Gum tara 1 kg,,https://condi.dk/da/tilsaetningsstoffer/gum-tara-1-kg,NO_EAN_IN_V7; page_market=DK; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
DO,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
DZ,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Cape Crystal Brands Tara Gum Powder,711221973065,https://www.capecrystalbrands.com/products/tara-gum,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
EE,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
EG,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Cape Crystal Brands Tara Gum Powder,,https://www.capecrystalbrands.com/products/tara-gum,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
ES,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
FI,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
FR,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
GB,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
GH,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Cape Crystal Brands Tara Gum Powder,711221973058,https://www.capecrystalbrands.com/products/tara-gum,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
GR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Τάρα Γκαμ (Tara Gum) NoCarb 100 g,,https://nocarb.gr/product/tara-gam-100g/,NO_EAN_IN_V7; page_market=GR; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
HK,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
HR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
HU,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
ID,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum,,https://sumberberkatingredia.com/produk/tara-gum/,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
IE,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
IL,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Tara Gum 50 g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
IN,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum Food Grade,,https://www.agaragar.in/gums.html,NO_EAN_IN_V7; page_market=IN; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
IS,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Pure Tara Gum Powder 50 g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
IT,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
JP,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,"スピノガムD (Spinogum D), tara gum",,https://sansho.co.jp/product/other-products/,NO_EAN_IN_V7; page_market=JP; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
KE,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Modernist Pantry Pure Tara Gum Powder,,https://modernistpantry.com/products/tara-gum.html,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
KR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
KW,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Pure Tara Gum Powder,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
LK,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Organic Tara Gum Powder,653981866129,https://www.happyandes-usa.com/products/organic-tara-gum/,PAGE_WITHOUT_EAN; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
LT,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara guma,,https://aone.lt/produktas/tara-guma-200g-400g-600g/,NO_EAN_IN_V7; page_market=LT; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
LU,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
LV,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
MA,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,E417 - Gomme de Tara / Tara Gum,,https://catalogue.topnegoce.com/en/1221-999-e417-tara-gum-top-negoce.html,NO_EAN_IN_V7; page_market=MA; by=CURRENCY; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
MT,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
MX,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Goma Tara — oferta spożywcza B2B,,https://maprysa.com.mx/goma-de-konjac,NO_EAN_IN_V7; page_market=MX; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
MY,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum Powder / Serbuk Gam Tara,,https://takeitglobal.my/products/tara-gum-powder-serbuk-gam-tara-caesalpinia-spinosa-gum-%E5%A1%94%E6%8B%89%E8%83%B6%E7%B2%89,NO_EAN_IN_V7; page_market=MY; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
