ean,roles,product,v7_markets,confirmed_markets,confirmed,not_confirmed,a04_status,rcn
4250573301738,DEXTROSE,Dextrose monohydrat Pulver 5 kg,2,1,DE(CCTLD/RAW_HTML),AT:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
6408430840625,SMP,Valio rasvaton maitojauhe instant 400 g,2,1,FI(CCTLD/RAW_HTML),EE:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
5060113910714,SMP,Milfresh Gold Superior Granulated Skimmed Milk 500 g,2,1,GB(CCTLD/RAW_HTML),IE:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
3838800040578,MILK,"Alpsko trajno mlijeko 3,5% m.m. 1 l",2,1,SI(CCTLD/RAW_HTML),HR:MARKET_PAGE_WITHOUT_EAN,ONE_MARKET_CONFIRMED,NO
3043939531112,SMP,Instant Skimmed Milk Powder With 0% Fat,2,1,MT(CCTLD/RAW_HTML),CY:MARKET_PAGE_WITHOUT_EAN,ONE_MARKET_CONFIRMED,NO
9556958338807,SMP,Sunlac Low Fat Instant Skim Milk Powder,2,1,MY(CCTLD/RAW_HTML),ID:EAN_ON_GENERIC_TLD_PAGE,ONE_MARKET_CONFIRMED,NO
4955447100416,MILK,Hokkaido Hidaka 3.6 Long Life Milk 200 ml,2,1,TW(CCTLD/RAW_HTML),JP:EAN_ON_GENERIC_TLD_PAGE,ONE_MARKET_CONFIRMED,NO
3043931691418,SMP,Régilait Instant Skimmed Milk Powder 0% Fat,2,1,QA(CCTLD/RAW_HTML),KW:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
4770265041259,MILK,"Pienas MŪ UAT 3,5% rieb. 1 l",2,1,LT(CCTLD/RAW_HTML),LV:EAN_ON_FOREIGN_MARKET_PAGE,ONE_MARKET_CONFIRMED,NO
8055728540170,TARA,Tara Gum 50gr. / Gomma di Tara E417,28,0,,AT:EAN_ON_GENERIC_TLD_PAGE;AU:EAN_ON_GENERIC_TLD_PAGE;BE:EAN_ON_GENERIC_TLD_PAGE;BG:EAN_ON_GENERIC_TLD_PAGE;CH:EAN_ON_GENERIC_TLD_PAGE;CY:EAN_ON_GENERIC_TLD_PAGE;DE:EAN_ON_GENERIC_TLD_PAGE;EE:EAN_ON_GENERIC_TLD_PAGE;ES:EAN_ON_GENERIC_TLD_PAGE;FI:EAN_ON_GENERIC_TLD_PAGE;FR:EAN_ON_GENERIC_TLD_PAGE;GB:EAN_ON_GENERIC_TLD_PAGE;HK:EAN_ON_GENERIC_TLD_PAGE;HR:EAN_ON_GENERIC_TLD_PAGE;HU:EAN_ON_GENERIC_TLD_PAGE;IE:EAN_ON_GENERIC_TLD_PAGE;IT:EAN_ON_GENERIC_TLD_PAGE;KR:EAN_ON_GENERIC_TLD_PAGE;LU:EAN_ON_GENERIC_TLD_PAGE;LV:EAN_ON_GENERIC_TLD_PAGE;MT:EAN_ON_GENERIC_TLD_PAGE;NL:EAN_ON_GENERIC_TLD_PAGE;NZ:EAN_ON_GENERIC_TLD_PAGE;PT:EAN_ON_GENERIC_TLD_PAGE;RO:EAN_ON_GENERIC_TLD_PAGE;SE:EAN_ON_GENERIC_TLD_PAGE;SI:EAN_ON_GENERIC_TLD_PAGE;TW:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
819543011967,TARA,Tara Gum — Home 50g,14,0,,AE:EAN_ON_GENERIC_TLD_PAGE;BD:EAN_ON_GENERIC_TLD_PAGE;BH:EAN_ON_GENERIC_TLD_PAGE;CO:EAN_ON_GENERIC_TLD_PAGE;CR:EAN_ON_GENERIC_TLD_PAGE;DO:EAN_ON_GENERIC_TLD_PAGE;IL:EAN_ON_GENERIC_TLD_PAGE;IS:EAN_ON_GENERIC_TLD_PAGE;KW:EAN_ON_GENERIC_TLD_PAGE;OM:EAN_ON_GENERIC_TLD_PAGE;PA:EAN_ON_GENERIC_TLD_PAGE;PH:EAN_ON_GENERIC_TLD_PAGE;QA:EAN_ON_GENERIC_TLD_PAGE;US:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
733739058324,SMP,NOW Real Food Organic Non-Fat Dry Milk Powder,13,0,,BD:EAN_ON_GENERIC_TLD_PAGE;DZ:EAN_ON_GENERIC_TLD_PAGE;EG:EAN_ON_GENERIC_TLD_PAGE;GH:EAN_ON_GENERIC_TLD_PAGE;KE:EAN_ON_GENERIC_TLD_PAGE;LK:EAN_ON_GENERIC_TLD_PAGE;MA:EAN_ON_GENERIC_TLD_PAGE;MX:EAN_ON_GENERIC_TLD_PAGE;NG:EAN_ON_GENERIC_TLD_PAGE;OM:EAN_ON_GENERIC_TLD_PAGE;PA:EAN_ON_GENERIC_TLD_PAGE;PK:EAN_ON_GENERIC_TLD_PAGE;TN:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
9300639999005,SMP,Devondale Instant Skim Milk Powder,4,0,,AU:MARKET_PAGE_WITHOUT_EAN;CN:PAGE_WITHOUT_EAN;HK:EAN_ON_MARKETPLACE_MARKET_PAGE;PH:MARKET_PAGE_WITHOUT_EAN,NOT_CONFIRMED,NO
711221973058,TARA,Cape Crystal Brands Tara Gum Powder,4,0,,GH:EAN_ON_GENERIC_TLD_PAGE;NG:EAN_ON_GENERIC_TLD_PAGE;SA:EAN_ON_GENERIC_TLD_PAGE;TN:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
3043931692415,SMP,Régilait Instant Skimmed Milk Powder 0% Fat,3,0,,AE:EAN_ON_MARKETPLACE_MARKET_PAGE;BH:EAN_ON_FOREIGN_MARKET_PAGE;SA:EAN_ON_FOREIGN_MARKET_PAGE,NOT_CONFIRMED,NO
5700426230177,CREAM,Puck Whipping Cream UHT,3,0,,BH:EAN_ON_FOREIGN_MARKET_PAGE;LK:EAN_ON_FOREIGN_MARKET_PAGE;OM:EAN_ON_FOREIGN_MARKET_PAGE,NOT_CONFIRMED,NO
8050246530061,DEXTROSE,Destrosio Monoidrato 1kg,2,0,,IT:EAN_ON_GENERIC_TLD_PAGE;MT:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
6281007040235,MILK,Almarai Fresh Milk Full Fat 1 L,2,0,,KW:EAN_ON_GENERIC_TLD_PAGE;SA:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
5711953072352,MILK,Organic Milk Full Fat 200ml,2,0,,BH:EAN_ON_FOREIGN_MARKET_PAGE;QA:EAN_ON_FOREIGN_MARKET_PAGE,NOT_CONFIRMED,NO
3161911703385,CREAM,Elle & Vire Professionnel Excellence Whipping Cream UHT 35%,2,0,,EG:EAN_ONLY_ECHOED_FROM_URL_OR_QUERY;IN:EAN_ONLY_ECHOED_FROM_URL_OR_QUERY,NOT_CONFIRMED,NO
5701215046832,MILK,Emborg Full Cream Milk 3.5% 1L,2,0,,MY:EAN_ON_GENERIC_TLD_PAGE;PH:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
5901432003261,CREAM,Meadow Star UHT whipping cream 30%,2,0,,LT:MARKET_PAGE_WITHOUT_EAN;LV:MARKET_PAGE_WITHOUT_EAN,NOT_CONFIRMED,NO
8410285127347,MILK,Lait de vache stérilisé UHT entier 3.5% M.G. 1L,2,0,,MA:EAN_ON_GENERIC_TLD_PAGE;VN:EAN_ON_GENERIC_TLD_PAGE,NOT_CONFIRMED,NO
